Review,Length,Negative,Positive,Date,Stars
review0,532,-2,3,2017-10-09,4
review1,308,-1,2,2017-09-20,3
review2,433,-2,1,2017-10-01,3
review3,297,-2,1,2017-10-05,2
review4,496,-3,2,2017-09-27,1
review5,208,-3,3,2017-09-28,2
review6,119,-4,1,2017-10-15,1
review7,266,-3,1,2017-09-20,1
review8,177,-4,1,2017-10-17,1
review9,124,-1,1,2017-10-10,3
review10,110,-4,1,2017-10-11,1
review11,130,-2,1,2017-09-20,2
review12,60,-2,2,2017-09-19,3
review13,20,-1,1,2017-09-29,3
review14,404,-2,1,2017-07-26,1
review15,256,-1,1,2017-07-27,1
review16,313,-2,1,2017-08-30,3
review17,594,-1,2,2017-08-29,3
review18,417,-3,1,2017-08-23,1
review19,480,-4,2,2017-08-24,1
review20,203,-4,3,2017-08-28,1
review21,190,-4,1,2017-07-27,1
review22,795,-1,3,2017-08-01,2
review23,152,-1,1,2017-09-04,1
review24,158,-2,1,2017-07-27,1
review25,182,-4,2,2017-09-19,2
review26,179,-2,2,2017-09-19,3
review27,144,-1,1,2017-07-29,2
review28,193,-1,1,2017-09-03,3
review29,155,-1,2,2017-08-02,3
review30,108,-2,1,2017-07-31,1
review31,82,-1,2,2017-07-30,3
review32,147,-2,3,2017-08-01,4
review33,87,-1,2,2017-07-27,4
review34,18,-1,1,2017-07-26,2
review35,43,-4,1,2017-07-30,1
review36,461,-3,1,2017-06-11,3
review37,290,-3,2,2017-05-22,1
review38,433,-2,3,2017-07-13,3
review39,295,-4,2,2017-05-04,1
review40,280,-4,3,2017-03-05,2
review41,242,-3,1,2017-05-08,2
review42,285,-2,2,2017-07-11,5
review43,576,-3,2,2017-06-20,2
review44,246,-1,3,2017-05-23,2
review45,738,-3,2,2017-03-17,1
review46,438,-2,3,2017-06-29,2
review47,323,-3,1,2017-05-07,1
review48,194,-3,2,2017-07-10,2
review49,251,-3,2,2017-04-02,1
review50,216,-3,2,2017-02-23,2
review51,281,-3,1,2017-06-14,2
review52,192,-2,1,2017-05-20,1
review53,159,-2,1,2017-04-12,2
review54,209,-4,1,2017-05-12,2
review55,171,-3,1,2017-07-24,2
review56,135,-3,3,2017-03-07,1
review57,212,-1,3,2017-07-19,5
review58,70,-3,1,2017-03-30,3
review59,120,-2,1,2017-04-20,1
review60,119,-1,2,2017-03-03,1
review61,881,-4,1,2017-07-25,1
review62,73,-1,1,2017-03-08,3
review63,105,-1,3,2017-02-20,4
review64,91,-2,1,2017-04-02,1
review65,127,-1,1,2017-04-12,1
review66,61,-3,1,2017-03-07,1
review67,45,-1,1,2017-07-06,1
review68,65,-2,2,2017-07-20,3
review69,146,-1,3,2017-06-19,5
review70,115,-1,1,2017-06-02,3
review71,91,-4,2,2017-06-20,2
review72,86,-1,2,2017-04-07,2
review73,75,-2,1,2017-06-22,2
review74,100,-1,2,2017-04-27,5
review75,42,-1,1,2017-03-30,2
review76,83,-1,3,2017-02-25,5
review77,34,-3,1,2017-07-24,1
review78,62,-3,1,2017-03-12,1
review79,39,-1,3,2017-03-22,5
review80,34,-1,1,2017-03-29,1
review81,30,-1,1,2017-05-05,1
review82,22,-1,1,2017-03-31,2
review83,16,-2,1,2017-04-12,1
review84,60,-1,1,2017-06-28,2
review85,15,-1,1,2017-07-28,3
review86,20,-1,1,2017-02-24,2
review87,551,-2,3,2017-01-14,4
review88,506,-5,2,2016-12-28,2
review89,342,-3,2,2017-01-25,1
review90,408,-1,2,2017-01-20,1
review91,441,-2,3,2017-01-12,1
review92,303,-5,2,2017-02-10,1
review93,344,-2,1,2017-02-08,3
review94,305,-2,2,2016-12-30,4
review95,442,-3,3,2016-12-27,5
review96,692,-4,1,2017-02-11,1
review97,379,-2,3,2017-02-14,4
review98,261,-4,1,2017-01-24,2
review99,529,-2,2,2016-12-28,1
review100,327,-4,3,2017-01-12,1
review101,203,-2,3,2016-12-28,5
review102,178,-2,3,2017-02-05,2
review103,179,-4,1,2017-01-18,1
review104,174,-2,2,2016-12-27,2
review105,443,-3,2,2017-02-15,1
review106,556,-2,2,2017-01-21,3
review107,626,-4,1,2017-01-18,1
review108,547,-4,3,2017-02-15,1
review109,512,-3,3,2016-12-31,1
review110,153,-4,3,2017-01-09,1
review111,149,-2,1,2017-01-22,3
review112,143,-2,2,2016-12-28,5
review113,128,-3,1,2017-02-05,1
review114,229,-3,3,2017-02-07,1
review115,323,-2,3,2016-12-29,5
review116,370,-2,2,2017-02-03,2
review117,207,-3,2,2017-01-07,3
review118,112,-2,1,2016-12-28,1
review119,359,-4,1,2017-01-18,1
review120,358,-3,2,2017-01-16,1
review121,445,-3,2,2016-12-27,1
review122,554,-2,1,2017-01-14,1
review123,126,-1,2,2017-02-05,3
review124,159,-2,1,2017-01-05,2
review125,68,-2,2,2016-12-27,5
review126,170,-4,2,2017-02-19,1
review127,161,-3,2,2017-02-17,1
review128,160,-3,1,2017-02-01,1
review129,157,-3,1,2017-01-08,1
review130,79,-1,1,2017-01-31,1
review131,141,-2,1,2017-01-10,2
review132,93,-2,1,2017-01-02,3
review133,55,-3,1,2016-12-27,3
review134,29,-3,1,2017-01-12,1
review135,110,-1,2,2017-02-08,1
review136,52,-2,1,2017-02-18,1
review137,72,-4,1,2017-02-08,2
review138,86,-2,1,2016-12-27,1
review139,76,-1,2,2017-01-14,1
review140,30,-3,1,2017-02-08,1
review141,52,-1,3,2016-12-28,5
review142,36,-1,1,2016-12-27,5
review143,115,-2,4,2017-02-01,2
review144,89,-2,3,2016-12-28,5
review145,101,-1,2,2017-01-10,4
review146,60,-1,2,2016-12-27,4
review147,35,-1,2,2016-12-27,5
review148,84,-1,1,2017-01-10,3
review149,36,-1,1,2017-01-23,3
review150,15,-1,3,2017-01-08,1
review151,27,-1,1,2017-02-06,1
review152,62,-2,1,2016-12-27,4
review153,29,-1,2,2016-12-27,4
review154,13,-2,2,2017-01-30,1
review155,367,-1,3,2016-12-27,4
