Review,Length,Negative,Positive,Date,Stars
review0,491,-3,3,2017-11-15,1
review1,470,-2,2,2017-11-16,1
review2,294,-1,2,2017-11-15,3
review3,435,-3,2,2017-11-14,1
review4,362,-2,4,2017-11-16,3
review5,126,-4,3,2017-11-14,1
review6,162,-1,2,2017-11-14,4
review7,825,-3,2,2017-11-14,3
review8,627,-3,1,2017-11-14,1
review9,70,-1,1,2017-11-14,4
review10,196,-1,2,2017-11-16,4
review11,125,-1,2,2017-11-16,1
review12,70,-1,1,2017-11-14,1
review13,57,-1,1,2017-11-15,1
review14,21,-1,2,2017-11-15,4
review15,7,-1,3,2017-11-16,4
review16,323,-1,2,2017-10-30,3
review17,137,-2,1,2017-10-31,1
review18,271,-1,2,2017-11-01,2
review19,98,-3,1,2017-11-04,2
review20,51,-1,2,2017-11-07,3
review21,48,-1,2,2017-11-11,2
review22,11,-1,2,2017-11-14,5
review23,353,-1,2,2017-11-05,3
review24,602,-3,2,2017-11-06,2
review25,423,-2,1,2017-11-03,3
review26,469,-2,3,2017-11-04,2
review27,327,-1,1,2017-11-13,3
review28,269,-2,1,2017-10-31,3
review29,745,-2,1,2017-11-04,1
review30,261,-4,3,2017-11-08,1
review31,238,-2,1,2017-11-02,1
review32,209,-3,1,2017-11-06,1
review33,245,-2,2,2017-11-09,5
review34,346,-2,2,2017-11-04,2
review35,205,-3,1,2017-11-04,2
review36,351,-1,2,2017-11-03,2
review37,301,-2,2,2017-11-06,2
review38,267,-3,1,2017-11-08,2
review39,280,-2,2,2017-11-05,2
review40,481,-4,3,2017-11-09,1
review41,210,-3,1,2017-11-02,1
review42,185,-1,2,2017-11-13,4
review43,127,-3,1,2017-11-08,1
review44,166,-2,3,2017-11-05,3
review45,171,-2,1,2017-11-03,2
review46,216,-4,1,2017-11-10,1
review47,139,-2,1,2017-11-08,2
review48,335,-2,1,2017-10-31,4
review49,276,-2,1,2017-11-13,4
review50,117,-1,2,2017-11-02,3
review51,70,-3,2,2017-11-07,1
review52,121,-1,2,2017-11-11,4
review53,290,-1,1,2017-11-11,1
review54,87,-1,1,2017-11-10,1
review55,100,-3,3,2017-11-14,5
review56,157,-1,1,2017-11-04,1
review57,301,-4,2,2017-11-12,3
review58,177,-1,2,2017-11-14,1
review59,150,-1,3,2017-10-30,1
review60,176,-1,1,2017-11-12,2
review61,136,-1,1,2017-11-06,1
review62,104,-2,2,2017-11-02,3
review63,62,-1,1,2017-11-07,3
review64,46,-1,1,2017-11-07,3
review65,140,-2,1,2017-11-07,1
review66,89,-1,1,2017-11-13,3
review67,61,-1,1,2017-11-05,3
review68,75,-2,1,2017-11-07,1
review69,70,-1,1,2017-11-11,5
review70,69,-3,3,2017-11-02,1
review71,100,-3,1,2017-11-07,3
review72,230,-1,3,2017-11-07,5
review73,40,-1,1,2017-11-07,1
review74,35,-1,1,2017-10-31,1
review75,27,-1,1,2017-11-14,1
review76,116,-3,1,2017-11-10,3
review77,128,-1,2,2017-11-06,4
review78,26,-1,1,2017-10-30,1
review79,29,-1,1,2017-11-14,1
review80,11,-1,1,2017-11-07,1
review81,80,-1,3,2017-11-04,3
review82,75,-1,3,2017-11-14,5
review83,31,-1,1,2017-11-04,1
review84,70,-1,1,2017-11-03,1
review85,14,-1,2,2017-11-02,1
review86,33,-1,1,2017-11-13,1
review87,40,-2,2,2017-11-04,4
review88,29,-1,2,2017-11-05,4
review89,19,-1,2,2017-11-04,5
review90,19,-2,1,2017-10-31,5
review91,20,-1,3,2017-11-11,5
review92,4,-1,1,2017-11-14,5
review93,3,-1,1,2017-10-30,2
review94,346,-5,1,2017-10-27,1
review95,257,-4,1,2017-10-17,1
review96,396,-4,1,2017-10-09,1
review97,289,-2,2,2017-10-16,1
review98,277,-3,1,2017-10-28,3
review99,255,-1,2,2017-10-29,3
review100,275,-3,3,2017-10-23,1
review101,215,-3,2,2017-10-24,1
review102,228,-2,2,2017-10-20,2
review103,238,-1,2,2017-10-05,3
review104,206,-1,1,2017-10-10,3
review105,235,-1,1,2017-10-21,2
review106,502,-3,2,2017-10-14,1
review107,537,-2,2,2017-10-25,1
review108,276,-1,2,2017-10-28,1
review109,302,-2,1,2017-10-28,1
review110,245,-1,1,2017-10-15,2
review111,421,-3,2,2017-10-08,1
review112,227,-3,1,2017-10-30,2
review113,483,-3,3,2017-10-30,1
review114,316,-3,3,2017-10-23,2
review115,468,-4,3,2017-10-12,3
review116,186,-1,3,2017-10-08,2
review117,369,-1,2,2017-10-01,2
review118,253,-3,1,2017-10-25,5
review119,434,-3,2,2017-10-29,4
review120,103,-1,1,2017-10-18,2
review121,178,-4,3,2017-10-02,1
review122,140,-2,3,2017-10-27,1
review123,1044,-3,2,2017-10-05,1
review124,370,-2,3,2017-10-18,3
review125,105,-3,1,2017-10-28,1
review126,157,-3,2,2017-10-04,1
review127,420,-2,3,2017-10-16,2
review128,310,-1,1,2017-10-28,3
review129,423,-1,2,2017-10-07,3
review130,209,-2,1,2017-10-30,1
review131,192,-3,1,2017-10-11,1
review132,216,-2,2,2017-10-12,1
review133,76,-3,3,2017-10-10,1
review134,110,-4,1,2017-09-29,1
review135,100,-1,1,2017-10-14,3
review136,113,-3,1,2017-10-02,1
review137,183,-3,1,2017-10-25,2
review138,78,-2,3,2017-10-05,5
review139,1201,-4,3,2017-10-29,1
review140,213,-2,2,2017-10-28,3
review141,232,-2,1,2017-10-29,4
review142,232,-1,2,2017-10-18,3
review143,178,-3,1,2017-10-26,1
review144,140,-3,1,2017-10-01,1
review145,129,-2,1,2017-10-12,1
