Review,Length,Negative,Positive,Date,Stars
review0,539,-3,1,2017-10-25,1
review1,370,-4,1,2017-10-31,1
review2,319,-4,2,2017-10-31,1
review3,447,-1,2,2017-10-16,1
review4,351,-4,3,2017-10-13,1
review5,302,-3,2,2017-10-19,1
review6,322,-3,1,2017-10-11,1
review7,355,-1,3,2017-10-23,3
review8,299,-3,3,2017-10-23,1
review9,253,-2,3,2017-10-29,1
review10,289,-2,2,2017-10-12,1
review11,194,-4,2,2017-10-23,2
review12,446,-2,1,2017-10-11,1
review13,274,-1,3,2017-10-12,4
review14,359,-3,3,2017-10-29,4
review15,212,-1,3,2017-10-11,1
review16,667,-2,3,2017-10-27,3
review17,168,-3,3,2017-10-12,3
review18,250,-4,1,2017-10-15,3
review19,185,-1,2,2017-10-29,1
review20,506,-4,3,2017-10-19,2
review21,442,-4,1,2017-10-29,1
review22,123,-3,1,2017-10-11,1
review23,197,-2,3,2017-10-25,2
review24,603,-3,2,2017-10-28,1
review25,172,-1,2,2017-10-16,1
review26,99,-1,1,2017-10-12,1
review27,152,-2,2,2017-10-21,5
review28,239,-2,3,2017-10-12,3
review29,197,-1,3,2017-10-15,1
review30,225,-2,1,2017-10-29,1
review31,138,-3,1,2017-10-12,2
review32,216,-2,3,2017-10-14,3
review33,244,-3,2,2017-11-04,1
review34,76,-4,1,2017-10-31,2
review35,125,-3,1,2017-10-15,1
review36,436,-1,3,2017-10-16,3
review37,248,-1,2,2017-10-15,1
review38,206,-3,2,2017-11-07,1
review39,98,-2,1,2017-10-12,1
review40,154,-2,2,2017-10-28,2
review41,178,-3,2,2017-10-24,1
review42,156,-1,2,2017-10-12,4
review43,178,-2,3,2017-10-18,1
review44,91,-4,1,2017-11-02,4
review45,523,-3,2,2017-10-24,5
review46,172,-2,3,2017-11-01,2
review47,136,-2,1,2017-10-11,2
review48,173,-4,2,2017-11-04,3
review49,293,-1,3,2017-10-30,3
review50,103,-1,1,2017-10-12,1
review51,113,-2,2,2017-10-14,1
review52,154,-2,1,2017-10-12,1
review53,152,-1,2,2017-10-11,1
review54,37,-2,1,2017-10-25,2
review55,104,-1,1,2017-10-14,2
review56,160,-1,3,2017-10-11,5
review57,117,-3,1,2017-10-15,2
review58,69,-2,1,2017-11-08,1
review59,74,-3,1,2017-10-11,1
review60,309,-3,2,2017-10-17,4
review61,178,-1,1,2017-10-11,3
review62,200,-1,1,2017-10-21,1
review63,148,-1,1,2017-10-19,1
review64,141,-3,1,2017-10-28,1
review65,293,-2,1,2017-11-02,1
review66,65,-2,3,2017-10-15,5
review67,318,-4,1,2017-10-21,2
review68,179,-3,1,2017-10-27,1
review69,72,-4,1,2017-10-12,2
review70,157,-3,1,2017-10-16,2
review71,98,-1,3,2017-10-14,1
review72,66,-4,2,2017-10-11,2
review73,171,-4,2,2017-10-12,3
review74,338,-3,1,2017-10-21,1
review75,193,-1,1,2017-10-21,2
review76,135,-4,1,2017-10-21,3
review77,238,-1,2,2017-10-17,3
