Review,Length,Negative,Positive,Date,Stars
review0,454,-3,2,2018-05-28,1
review1,317,-2,2,2018-05-27,1
review2,274,-3,2,2018-05-27,1
review3,712,-3,2,2018-05-28,1
review4,531,-2,3,2018-05-26,1
review5,955,-4,3,2018-05-26,1
review6,279,-4,2,2018-05-27,1
review7,319,-4,1,2018-05-27,1
review8,231,-1,3,2018-05-27,1
review9,163,-3,3,2018-05-27,1
review10,302,-3,2,2018-05-27,2
review11,460,-3,2,2018-05-28,1
review12,230,-4,2,2018-05-27,5
review13,111,-2,1,2018-05-27,1
review14,144,-3,2,2018-05-26,2
review15,161,-2,2,2018-05-26,1
review16,265,-2,2,2018-05-27,3
review17,229,-1,2,2018-05-26,2
review18,137,-3,3,2018-05-27,1
review19,181,-2,2,2018-05-26,1
review20,145,-3,1,2018-05-26,1
review21,142,-3,2,2018-05-27,1
review22,363,-2,2,2018-05-28,2
review23,166,-3,2,2018-05-26,1
review24,125,-4,1,2018-05-28,1
review25,141,-1,2,2018-05-28,2
review26,79,-3,3,2018-05-28,1
review27,92,-4,1,2018-05-26,1
review28,73,-4,1,2018-05-26,1
review29,81,-1,1,2018-05-27,1
review30,114,-3,2,2018-05-26,1
review31,46,-1,1,2018-05-27,1
review32,168,-1,2,2018-05-26,1
review33,165,-3,2,2018-05-28,1
review34,125,-1,1,2018-05-27,1
review35,68,-2,1,2018-05-27,1
review36,93,-1,1,2018-05-27,1
review37,109,-1,1,2018-05-28,1
review38,71,-4,1,2018-05-27,1
review39,51,-1,1,2018-05-27,1
review40,56,-1,2,2018-05-26,4
review41,86,-2,1,2018-05-27,2
review42,38,-1,1,2018-05-26,5
review43,109,-4,2,2018-05-28,1
review44,124,-1,2,2018-05-26,3
review45,62,-3,1,2018-05-28,2
review46,135,-1,2,2018-05-26,4
review47,45,-1,1,2018-05-26,1
review48,85,-1,1,2018-05-26,1
review49,132,-1,2,2018-05-27,1
review50,47,-1,1,2018-05-26,2
review51,135,-1,1,2018-05-27,5
review52,57,-1,1,2018-05-26,1
review53,31,-2,1,2018-05-28,1
review54,29,-3,1,2018-05-27,5
review55,118,-2,3,2018-05-27,5
review56,50,-1,1,2018-05-26,5
review57,78,-2,1,2018-05-27,1
review58,18,-3,1,2018-05-26,1
review59,40,-1,1,2018-05-26,1
review60,71,-1,1,2018-05-28,4
review61,115,-2,2,2018-05-27,1
review62,20,-1,1,2018-05-26,3
review63,69,-1,1,2018-05-28,1
review64,35,-1,1,2018-05-27,2
review65,32,-1,1,2018-05-28,1
review66,30,-1,1,2018-05-26,3
review67,25,-1,1,2018-05-27,2
review68,35,-1,2,2018-05-26,4
review69,24,-1,1,2018-05-28,4
review70,26,-2,1,2018-05-28,2
review71,10,-1,1,2018-05-26,1
review72,14,-1,1,2018-05-27,5
review73,61,-1,2,2018-05-26,2
review74,14,-1,1,2018-05-27,5
review75,51,-1,1,2018-05-27,1
review76,46,-1,1,2018-05-27,4
review77,15,-4,1,2018-05-26,1
review78,39,-1,1,2018-05-28,5
review79,14,-1,2,2018-05-28,5
review80,10,-1,1,2018-05-27,1
review81,13,-1,2,2018-05-27,5
review82,22,-1,4,2018-05-26,5
review83,16,-1,3,2018-05-27,5
review84,7,-1,1,2018-05-28,5
review85,6,-2,1,2018-05-27,1
review86,4,-1,2,2018-05-26,5
review87,9,-1,4,2018-05-26,5
review88,6,-1,2,2018-05-28,5
review89,4,-1,2,2018-05-27,5
review90,7,-1,3,2018-05-27,5
review91,4,-1,2,2018-05-28,4
review92,5,-1,3,2018-05-28,5
review93,4,-1,2,2018-05-26,5
review94,4,-1,2,2018-05-28,5
review95,496,-2,3,2018-05-10,5
review96,449,-3,2,2018-05-16,2
review97,686,-2,3,2018-04-26,3
review98,522,-3,3,2018-04-22,1
review99,459,-4,3,2018-05-08,3
review100,352,-3,3,2018-05-23,1
review101,279,-3,3,2018-05-18,1
review102,341,-3,2,2018-05-01,1
review103,311,-3,2,2018-05-08,2
review104,225,-3,2,2018-05-19,1
review105,521,-2,3,2018-05-13,3
review106,209,-4,1,2018-05-12,1
review107,202,-4,1,2018-04-25,1
review108,485,-3,2,2018-05-08,1
review109,234,-2,2,2018-05-05,1
review110,326,-1,2,2018-05-16,1
review111,477,-3,2,2018-04-27,1
review112,261,-3,2,2018-05-01,1
review113,248,-2,2,2018-04-27,1
review114,543,-3,1,2018-05-01,1
review115,396,-4,1,2018-05-15,1
review116,438,-2,2,2018-05-12,1
review117,264,-1,3,2018-05-09,1
review118,180,-3,2,2018-04-22,1
review119,515,-3,2,2018-04-23,1
review120,232,-4,2,2018-05-13,1
review121,314,-4,2,2018-05-07,1
review122,315,-2,2,2018-04-30,1
review123,269,-4,2,2018-05-13,2
review124,482,-3,2,2018-05-18,1
review125,215,-3,1,2018-05-12,2
review126,221,-1,2,2018-04-29,3
review127,281,-1,2,2018-05-21,2
review128,222,-4,1,2018-05-18,1
review129,165,-4,1,2018-04-30,2
review130,291,-1,2,2018-04-22,1
review131,227,-4,3,2018-04-23,1
review132,284,-1,3,2018-04-25,1
review133,183,-2,3,2018-05-03,4
review134,620,-2,2,2018-04-28,1
review135,295,-3,2,2018-05-08,1
review136,282,-2,1,2018-04-22,4
review137,303,-1,2,2018-05-13,1
review138,757,-3,3,2018-05-23,1
review139,542,-2,1,2018-04-26,2
review140,519,-3,2,2018-05-18,1
review141,399,-2,1,2018-05-27,1
review142,250,-1,3,2018-04-27,4
review143,229,-3,2,2018-05-21,2
review144,213,-1,2,2018-05-26,1
review145,259,-1,2,2018-05-19,1
review146,410,-4,3,2018-05-24,1
review147,337,-1,1,2018-04-25,1
review148,307,-1,2,2018-04-22,1
review149,143,-1,2,2018-05-18,1
review150,318,-4,1,2018-05-05,1
review151,307,-1,2,2018-05-14,2
