Review,Length,Negative,Positive,Date,Stars
review0,312,-1,1,2018-05-22,2
review1,521,-1,3,2018-05-24,2
review2,261,-1,3,2018-05-26,3
review3,224,-4,1,2018-05-25,1
review4,417,-4,3,2018-05-28,1
review5,260,-2,2,2018-05-27,3
review6,185,-3,2,2018-05-21,5
review7,700,-2,2,2018-05-20,1
review8,149,-4,1,2018-05-27,1
review9,310,-1,2,2018-05-28,4
review10,568,-2,3,2018-05-27,2
review11,519,-3,3,2018-05-19,3
review12,91,-3,1,2018-05-27,5
review13,220,-1,3,2018-05-27,5
review14,79,-1,1,2018-05-22,2
review15,75,-1,1,2018-05-24,3
review16,74,-4,1,2018-05-28,1
review17,148,-1,2,2018-05-25,3
review18,83,-1,3,2018-05-19,5
review19,127,-1,1,2018-05-28,4
review20,28,-2,1,2018-05-26,5
review21,60,-2,3,2018-05-26,5
review22,56,-1,1,2018-05-27,3
review23,21,-1,1,2018-05-27,5
review24,69,-1,3,2018-05-26,5
review25,14,-1,1,2018-05-27,4
review26,332,-3,1,2018-05-18,3
review27,332,-1,2,2018-05-14,1
review28,263,-3,4,2018-05-14,4
review29,332,-1,3,2018-05-12,3
review30,250,-3,3,2018-05-13,1
review31,222,-1,1,2018-05-07,1
review32,294,-2,3,2018-05-18,5
review33,500,-2,3,2018-05-14,4
review34,240,-3,4,2018-05-04,3
review35,393,-3,2,2018-04-30,2
review36,464,-1,3,2018-05-15,2
review37,426,-3,3,2018-05-18,1
review38,269,-1,2,2018-05-05,2
review39,302,-1,3,2018-05-12,5
review40,139,-4,1,2018-05-04,1
review41,173,-3,2,2018-05-16,5
review42,471,-3,2,2018-05-08,2
review43,339,-3,1,2018-05-10,1
review44,218,-1,3,2018-05-11,5
review45,301,-3,2,2018-05-18,2
review46,511,-3,3,2018-05-20,2
review47,209,-3,1,2018-05-03,1
review48,126,-1,1,2018-05-13,1
review49,372,-1,2,2018-05-11,4
review50,165,-2,2,2018-05-04,5
review51,222,-2,2,2018-05-11,2
review52,163,-2,3,2018-05-16,5
review53,133,-4,2,2018-05-03,1
review54,195,-1,2,2018-05-16,5
review55,245,-2,3,2018-05-17,5
review56,169,-1,3,2018-05-20,5
review57,222,-1,2,2018-05-14,1
review58,133,-3,1,2018-05-13,1
review59,179,-2,1,2018-05-20,4
review60,150,-2,2,2018-05-21,4
review61,122,-2,1,2018-05-05,3
review62,92,-3,1,2018-05-10,1
review63,72,-1,2,2018-05-06,5
review64,96,-3,1,2018-05-05,2
review65,55,-1,1,2018-05-07,2
review66,51,-1,1,2018-05-19,5
review67,142,-1,3,2018-05-21,4
review68,142,-1,1,2018-05-07,1
review69,153,-1,3,2018-05-03,5
review70,40,-2,1,2018-05-19,1
review71,114,-2,4,2018-05-13,5
review72,37,-1,1,2018-05-09,1
review73,76,-1,3,2018-05-18,5
review74,135,-1,1,2018-05-03,3
review75,32,-2,1,2018-05-03,2
review76,80,-1,1,2018-05-05,1
review77,73,-1,1,2018-05-16,4
review78,41,-1,3,2018-05-18,5
review79,93,-1,2,2018-05-06,4
review80,62,-3,1,2018-05-07,5
review81,101,-1,3,2018-05-18,5
review82,62,-1,3,2018-05-16,5
review83,89,-1,3,2018-05-07,1
review84,80,-1,3,2018-05-19,1
review85,52,-2,2,2018-05-25,5
review86,75,-1,1,2018-05-13,5
review87,62,-1,2,2018-05-08,5
review88,13,-1,1,2018-05-17,1
review89,92,-1,4,2018-05-10,5
review90,61,-1,3,2018-05-18,5
review91,77,-1,3,2018-05-08,4
review92,30,-1,1,2018-05-06,1
review93,42,-1,2,2018-05-13,5
review94,28,-1,1,2018-05-11,5
review95,68,-1,3,2018-05-21,5
review96,54,-1,3,2018-05-12,4
review97,19,-1,1,2018-05-07,5
