Review,Length,Negative,Positive,Date,Stars
review0,141,-1,1,2018-08-30,5
review1,243,-3,4,2018-08-30,5
review2,151,-1,3,2018-08-30,5
review3,297,-1,3,2018-08-30,5
review4,32,-1,2,2018-08-30,5
review5,15,-1,2,2018-08-30,4
review6,65,-1,3,2018-08-30,5
review7,105,-1,3,2018-08-30,5
review8,119,-2,1,2018-08-30,3
review9,1736,-4,3,2018-08-30,3
review10,79,-1,3,2018-08-30,4
review11,114,-1,2,2018-08-30,5
review12,297,-2,2,2018-08-30,1
review13,649,-2,2,2018-08-30,3
review14,224,-1,2,2018-08-30,4
review15,130,-1,1,2018-08-30,5
review16,361,-3,4,2018-08-30,3
review17,254,-3,3,2018-08-30,5
review18,33,-1,3,2018-08-30,5
review19,174,-1,3,2018-08-30,5
review20,87,-1,3,2018-08-30,4
review21,248,-1,3,2018-08-30,5
review22,103,-1,3,2018-08-30,5
review23,482,-3,3,2018-08-30,1
review24,38,-1,3,2018-08-30,5
review25,13,-1,1,2018-08-30,5
review26,719,-2,3,2018-08-30,5
review27,62,-1,3,2018-08-30,5
review28,119,-1,3,2018-08-30,5
review29,29,-1,3,2018-08-30,5
review30,45,-1,1,2018-08-30,4
review31,498,-1,3,2018-08-30,5
review32,14,-1,4,2018-08-30,5
review33,311,-3,3,2018-08-30,5
review34,70,-2,2,2018-08-30,4
review35,18,-1,3,2018-08-30,5
review36,1715,-4,3,2018-08-30,1
review37,328,-3,2,2018-08-30,4
review38,135,-1,4,2018-08-30,5
review39,238,-3,1,2018-08-30,4
review40,39,-1,3,2018-08-30,5
review41,122,-3,3,2018-08-30,1
review42,20,-1,3,2018-08-30,5
review43,387,-3,3,2018-08-30,5
review44,312,-2,2,2018-08-30,2
review45,279,-1,3,2018-08-30,4
review46,163,-1,3,2018-08-30,5
review47,461,-1,3,2018-08-30,1
review48,28,-1,1,2018-08-29,5
review49,91,-1,1,2018-08-29,5
review50,106,-3,1,2018-08-29,5
review51,14,-1,3,2018-08-29,5
review52,45,-1,3,2018-08-29,5
review53,29,-1,3,2018-08-29,5
review54,13,-1,4,2018-08-29,5
review55,2462,-3,3,2018-08-29,5
review56,333,-2,4,2018-08-29,5
review57,33,-1,1,2018-08-29,4
review58,101,-1,2,2018-08-29,5
review59,82,-1,3,2018-08-29,5
review60,232,-1,2,2018-08-29,5
review61,459,-4,4,2018-08-29,3
review62,64,-2,1,2018-08-29,1
review63,59,-1,3,2018-08-29,5
review64,58,-1,4,2018-08-29,5
review65,88,-1,2,2018-08-29,5
review66,117,-1,4,2018-08-29,5
review67,145,-1,3,2018-08-29,5
review68,47,-1,3,2018-08-29,5
review69,436,-1,2,2018-08-29,3
review70,487,-1,4,2018-08-29,5
review71,9,-1,4,2018-08-29,5
review72,12,-1,2,2018-08-29,3
review73,208,-1,3,2018-08-29,3
