Review,Length,Negative,Positive,Date,Stars
review0,959,-1,3,2018-08-30,5
review1,9,-1,2,2018-08-29,5
review2,401,-1,4,2018-08-29,5
review3,226,-1,3,2018-08-29,5
review4,419,-2,3,2018-08-29,4
review5,294,-1,3,2018-08-29,5
review6,54,-1,1,2018-08-29,5
review7,130,-2,1,2018-08-29,1
review8,160,-2,2,2018-08-28,5
review9,377,-3,3,2018-08-28,5
review10,182,-1,4,2018-08-28,5
review11,19,-1,3,2018-08-28,5
review12,630,-2,2,2018-08-28,5
review13,949,-2,2,2018-08-28,5
review14,337,-4,3,2018-08-28,1
review15,404,-1,3,2018-08-28,5
review16,21,-1,1,2018-08-28,5
review17,146,-1,3,2018-08-27,5
review18,172,-1,4,2018-08-27,5
review19,609,-3,3,2018-08-27,5
review20,47,-1,2,2018-08-27,5
review21,150,-1,3,2018-08-27,5
review22,45,-1,3,2018-08-26,5
review23,436,-3,3,2018-08-25,5
review24,3105,-3,4,2018-08-25,5
review25,1564,-3,3,2018-08-24,5
review26,768,-2,3,2018-08-24,5
review27,2943,-4,3,2018-08-24,1
review28,166,-1,3,2018-08-24,5
review29,223,-1,3,2018-08-24,5
review30,136,-1,4,2018-08-24,5
review31,161,-2,2,2018-08-23,5
review32,54,-1,3,2018-08-23,5
review33,111,-1,4,2018-08-23,5
review34,431,-2,2,2018-08-23,1
review35,349,-3,3,2018-08-23,5
review36,1194,-4,3,2018-08-23,5
review37,495,-1,3,2018-08-23,5
review38,67,-2,3,2018-08-23,5
review39,492,-4,3,2018-08-22,5
review40,260,-2,3,2018-08-21,5
review41,109,-1,1,2018-08-21,5
review42,160,-3,1,2018-08-21,5
review43,88,-2,1,2018-08-21,2
review44,117,-1,3,2018-08-21,5
review45,394,-2,4,2018-08-21,3
review46,875,-3,2,2018-08-21,5
review47,97,-1,3,2018-08-21,5
review48,63,-1,4,2018-08-21,5
review49,311,-2,3,2018-08-21,5
review50,101,-2,2,2018-08-21,1
review51,714,-3,2,2018-08-21,1
review52,235,-3,4,2018-08-21,5
review53,272,-2,3,2018-08-21,5
review54,341,-3,3,2018-08-21,5
review55,327,-1,4,2018-08-20,5
review56,86,-1,3,2018-08-20,5
review57,24,-1,3,2018-08-20,5
review58,2248,-4,4,2018-08-20,5
review59,56,-1,1,2018-08-19,1
review60,21,-1,2,2018-08-19,5
review61,686,-4,2,2018-08-18,1
review62,127,-3,1,2018-08-17,5
review63,273,-2,1,2018-08-17,5
review64,723,-4,2,2018-08-17,1
review65,1688,-3,4,2018-08-17,5
review66,41,-1,4,2018-08-17,5
review67,965,-2,3,2018-08-16,4
review68,25,-1,3,2018-08-16,5
review69,109,-1,2,2018-08-16,1
review70,25,-1,3,2018-08-16,5
review71,449,-2,1,2018-08-16,5
review72,206,-2,3,2018-08-15,5
review73,162,-1,4,2018-08-15,5
review74,908,-2,3,2018-08-15,5
review75,72,-1,1,2018-08-15,5
review76,604,-4,3,2018-08-14,2
review77,52,-1,2,2018-08-14,4
review78,195,-2,3,2018-08-14,5
review79,17,-1,4,2018-08-14,5
review80,153,-1,3,2018-08-14,5
review81,79,-1,3,2018-08-14,5
review82,566,-2,1,2018-08-14,5
review83,406,-1,3,2018-08-14,5
review84,566,-2,3,2018-08-14,5
review85,1102,-2,4,2018-08-14,5
review86,975,-2,3,2018-08-14,5
review87,125,-1,3,2018-08-13,5
review88,468,-1,3,2018-08-13,5
review89,403,-3,3,2018-08-13,5
review90,84,-1,4,2018-08-12,5
review91,982,-4,2,2018-08-12,5
review92,259,-2,3,2018-08-11,5
review93,566,-1,2,2018-08-11,5
review94,441,-4,2,2018-08-10,5
review95,314,-2,2,2018-08-10,5
review96,423,-2,3,2018-08-10,5
review97,565,-2,2,2018-08-10,4
review98,56,-1,1,2018-08-10,5
review99,480,-1,3,2018-08-09,4
review100,603,-3,2,2018-08-09,1
review101,161,-1,1,2018-08-09,5
review102,751,-3,3,2018-08-09,1
review103,351,-1,3,2018-08-09,5
review104,198,-2,3,2018-08-09,5
review105,57,-1,3,2018-08-08,5
review106,263,-2,3,2018-08-07,5
review107,687,-4,3,2018-08-07,1
review108,280,-1,3,2018-08-07,5
review109,321,-1,3,2018-08-07,5
review110,410,-1,2,2018-08-07,5
review111,887,-2,4,2018-08-07,5
review112,341,-1,3,2018-08-07,5
review113,379,-1,3,2018-08-07,5
review114,294,-1,3,2018-08-07,5
review115,131,-1,1,2018-08-07,1
review116,541,-1,3,2018-08-07,5
review117,119,-1,3,2018-08-06,5
review118,299,-1,1,2018-08-06,1
review119,234,-1,1,2018-08-06,3
review120,676,-1,3,2018-08-06,5
review121,612,-1,3,2018-08-06,5
review122,302,-1,2,2018-08-06,5
review123,542,-3,4,2018-08-06,5
review124,19,-1,3,2018-08-06,5
review125,69,-1,1,2018-08-06,5
review126,517,-3,3,2018-08-05,5
review127,174,-1,3,2018-08-05,5
review128,167,-1,4,2018-08-05,5
review129,565,-4,3,2018-08-05,5
review130,868,-3,3,2018-08-05,5
review131,76,-1,3,2018-08-05,5
review132,219,-1,3,2018-08-05,5
review133,123,-1,3,2018-08-05,3
review134,123,-1,1,2018-08-04,5
review135,228,-1,3,2018-08-04,5
review136,267,-1,1,2018-08-04,1
review137,158,-2,2,2018-08-04,5
review138,295,-2,3,2018-08-04,5
review139,111,-1,3,2018-08-03,5
review140,25,-1,1,2018-08-03,5
review141,349,-2,3,2018-08-03,5
review142,69,-1,3,2018-08-03,5
