Review,Length,Negative,Positive,Date,Stars
review0,623,-4,2,2018-08-30,1
review1,752,-3,2,2018-08-25,1
review2,681,-2,3,2018-08-20,2
review3,431,-2,4,2018-08-20,5
review4,246,-2,1,2018-08-19,1
review5,210,-2,3,2018-08-18,5
review6,447,-3,3,2018-08-10,5
review7,979,-4,2,2018-08-05,1
review8,19,-1,1,2018-08-04,4
review9,523,-3,1,2018-08-01,1
review10,55,-3,3,2018-07-31,1
review11,298,-2,2,2018-07-25,1
review12,20,-1,2,2018-07-21,5
review13,134,-1,3,2018-07-17,5
review14,304,-2,3,2018-07-14,5
review15,591,-2,2,2018-06-29,5
review16,893,-4,2,2018-06-29,1
review17,1903,-2,3,2018-06-27,3
review18,225,-4,1,2018-06-27,1
review19,230,-3,1,2018-06-24,2
review20,42,-1,1,2018-06-22,1
review21,473,-3,2,2018-06-21,3
review22,96,-3,2,2018-06-20,1
review23,322,-3,2,2018-06-19,1
review24,640,-1,2,2018-06-15,1
review25,1302,-4,3,2018-06-13,2
review26,271,-2,1,2018-06-08,5
review27,186,-4,3,2018-06-06,5
review28,945,-2,2,2018-05-29,1
review29,824,-3,3,2018-05-26,2
review30,34,-2,1,2018-05-26,4
review31,41,-1,3,2018-05-25,5
review32,78,-1,3,2018-05-23,5
review33,95,-1,2,2018-05-08,3
review34,74,-1,4,2018-05-07,4
review35,243,-3,2,2018-04-30,1
review36,878,-2,1,2018-04-28,1
review37,1248,-3,3,2018-04-27,1
review38,46,-2,1,2018-04-25,1
review39,238,-1,3,2018-04-24,3
review40,940,-3,2,2018-04-23,1
review41,95,-1,2,2018-04-17,1
review42,24,-1,3,2018-04-12,5
review43,1041,-2,2,2018-04-11,5
review44,262,-1,2,2018-04-10,3
review45,245,-3,1,2018-04-09,1
review46,128,-1,3,2018-04-08,2
review47,356,-3,1,2018-04-07,1
review48,1416,-3,3,2018-04-07,2
review49,1019,-2,3,2018-04-03,2
review50,28,-1,4,2018-04-03,5
review51,668,-2,3,2018-04-02,5
review52,395,-4,2,2018-04-01,1
review53,358,-4,2,2018-03-31,1
review54,582,-3,2,2018-03-30,1
review55,1175,-4,3,2018-03-26,2
review56,54,-1,1,2018-03-24,2
review57,113,-2,2,2018-03-22,1
review58,2232,-2,3,2018-03-21,4
review59,461,-3,1,2018-03-19,4
review60,93,-1,1,2018-03-19,5
review61,140,-3,1,2018-03-17,1
review62,441,-3,2,2018-03-12,1
review63,774,-3,2,2018-03-09,2
review64,903,-3,2,2018-03-04,1
review65,465,-4,3,2018-03-02,4
review66,94,-1,3,2018-03-01,3
review67,28,-2,1,2018-02-28,3
review68,357,-2,2,2018-02-27,1
review69,129,-1,1,2018-02-27,4
review70,238,-3,2,2018-02-25,5
review71,1314,-2,2,2018-02-25,4
review72,346,-1,1,2018-02-25,1
review73,267,-3,1,2018-02-23,2
review74,65,-1,2,2018-02-22,2
review75,39,-1,2,2018-02-20,5
review76,384,-1,2,2018-02-17,5
review77,310,-2,3,2018-02-13,5
review78,268,-2,2,2018-02-12,3
review79,280,-5,2,2018-02-12,1
review80,51,-1,3,2018-02-12,5
review81,91,-1,3,2018-02-06,5
review82,91,-1,1,2018-02-05,1
review83,621,-3,2,2018-02-04,1
review84,481,-1,3,2018-01-31,5
