Review,Length,Negative,Positive,Date,Stars
review0,37,-1,3,2018-08-31,5
review1,98,-2,3,2018-08-31,4
review2,241,-2,3,2018-08-30,5
review3,219,-1,3,2018-08-29,5
review4,812,-4,3,2018-08-29,3
review5,55,-1,1,2018-08-29,4
review6,206,-1,2,2018-08-29,5
review7,593,-3,3,2018-08-27,1
review8,106,-1,1,2018-08-27,5
review9,1179,-3,3,2018-08-27,5
review10,138,-1,3,2018-08-26,5
review11,41,-1,1,2018-08-26,5
review12,69,-1,3,2018-08-26,5
review13,160,-1,4,2018-08-23,5
review14,154,-3,1,2018-08-23,1
review15,163,-1,4,2018-08-22,5
review16,70,-1,3,2018-08-21,5
review17,246,-1,3,2018-08-21,5
review18,68,-2,3,2018-08-21,5
review19,318,-1,3,2018-08-20,4
review20,20,-1,3,2018-08-20,5
review21,165,-2,3,2018-08-18,3
review22,300,-1,2,2018-08-17,4
review23,919,-3,2,2018-08-17,1
review24,190,-1,3,2018-08-15,5
review25,478,-2,2,2018-08-15,3
review26,27,-1,2,2018-08-14,5
review27,94,-1,3,2018-08-14,5
review28,30,-2,2,2018-08-13,5
review29,50,-1,2,2018-08-11,5
review30,18,-1,1,2018-08-10,5
review31,286,-3,3,2018-08-09,5
review32,74,-1,3,2018-08-09,5
review33,336,-2,3,2018-08-08,1
review34,65,-1,3,2018-08-08,5
review35,310,-3,3,2018-08-08,5
review36,103,-1,2,2018-08-08,5
review37,88,-2,3,2018-08-07,5
review38,51,-1,2,2018-08-07,4
review39,159,-1,3,2018-08-07,5
review40,23,-1,4,2018-08-06,5
review41,223,-1,3,2018-08-05,5
review42,367,-3,3,2018-08-04,5
review43,80,-1,3,2018-08-03,5
review44,221,-1,2,2018-08-02,5
review45,185,-4,1,2018-08-01,1
review46,23,-1,1,2018-08-01,5
review47,49,-4,3,2018-07-31,5
review48,1030,-2,2,2018-07-31,3
review49,307,-4,2,2018-07-31,3
review50,273,-2,3,2018-07-30,5
review51,91,-1,3,2018-07-29,5
review52,1454,-2,3,2018-07-28,5
review53,27,-1,3,2018-07-28,5
review54,93,-1,3,2018-07-27,4
review55,140,-4,1,2018-07-27,2
review56,517,-2,3,2018-07-27,5
review57,69,-2,1,2018-07-26,5
review58,1156,-3,2,2018-07-26,1
review59,88,-1,3,2018-07-25,5
review60,97,-1,2,2018-07-25,1
review61,437,-2,3,2018-07-24,1
review62,22,-1,2,2018-07-23,5
review63,458,-1,3,2018-07-21,5
review64,352,-1,1,2018-07-20,5
review65,86,-1,4,2018-07-19,5
review66,156,-1,2,2018-07-18,5
review67,311,-3,3,2018-07-18,5
review68,22,-1,3,2018-07-18,5
review69,43,-1,3,2018-07-16,5
review70,432,-1,2,2018-07-15,5
review71,267,-3,2,2018-07-14,1
review72,923,-3,3,2018-07-14,5
review73,74,-1,4,2018-07-14,5
review74,50,-1,1,2018-07-13,3
review75,210,-3,2,2018-07-13,1
review76,91,-1,3,2018-07-13,5
review77,605,-2,2,2018-07-12,5
review78,1009,-4,4,2018-07-12,5
review79,26,-1,3,2018-07-12,5
review80,634,-2,2,2018-07-12,4
review81,26,-1,1,2018-07-11,5
review82,90,-1,4,2018-07-11,5
review83,29,-1,1,2018-07-11,5
review84,45,-4,1,2018-07-10,1
review85,143,-1,3,2018-07-10,3
review86,366,-4,3,2018-07-10,5
review87,110,-1,2,2018-07-09,4
review88,597,-3,3,2018-07-08,2
review89,77,-2,1,2018-07-08,1
review90,670,-2,2,2018-07-07,3
review91,40,-1,2,2018-07-06,2
review92,162,-1,4,2018-07-06,5
review93,71,-1,1,2018-07-05,5
review94,465,-1,3,2018-07-04,3
review95,20,-1,3,2018-07-04,5
