Review,Length,Negative,Positive,Date,Stars
review0,395,-4,1,2018-09-04,1
review1,499,-2,2,2018-09-04,3
review2,191,-3,2,2018-09-01,1
review3,256,-1,2,2018-09-01,4
review4,303,-1,3,2018-08-31,1
review5,565,-3,2,2018-08-31,1
review6,40,-2,1,2018-08-22,1
review7,37,-1,1,2018-08-21,5
review8,44,-1,1,2018-08-20,1
review9,732,-1,2,2018-08-18,1
review10,29,-1,4,2018-08-17,5
review11,126,-4,1,2018-08-16,2
review12,240,-4,3,2018-08-15,1
review13,529,-2,2,2018-08-12,2
review14,140,-3,2,2018-08-11,1
review15,152,-1,3,2018-08-10,4
review16,645,-3,3,2018-08-09,5
review17,397,-1,3,2018-08-08,1
review18,179,-1,1,2018-08-08,1
review19,74,-1,3,2018-08-06,5
review20,284,-1,3,2018-08-05,5
review21,29,-1,1,2018-08-04,4
review22,171,-3,1,2018-08-04,2
review23,366,-2,2,2018-08-03,1
review24,21,-1,2,2018-08-01,4
review25,44,-2,1,2018-08-01,1
review26,41,-1,1,2018-08-01,5
review27,108,-1,3,2018-08-01,1
review28,1003,-4,2,2018-07-31,1
review29,131,-1,1,2018-07-30,1
review30,179,-2,3,2018-07-30,4
review31,29,-1,2,2018-07-30,5
review32,47,-2,3,2018-07-29,4
review33,2558,-4,4,2018-07-29,2
review34,59,-1,1,2018-07-28,5
review35,349,-3,2,2018-07-28,1
review36,19,-1,3,2018-07-27,5
review37,169,-2,1,2018-07-26,1
review38,43,-1,2,2018-07-26,5
review39,231,-1,1,2018-07-26,3
review40,50,-1,1,2018-07-26,5
review41,796,-3,2,2018-07-24,1
review42,939,-3,3,2018-07-23,1
review43,620,-3,2,2018-07-23,5
review44,195,-1,2,2018-07-22,1
review45,987,-3,3,2018-07-21,1
review46,749,-3,3,2018-07-20,3
review47,58,-1,3,2018-07-20,5
review48,87,-1,1,2018-07-19,1
review49,312,-3,5,2018-07-19,1
review50,509,-1,4,2018-07-18,5
review51,64,-1,4,2018-07-16,5
review52,134,-1,2,2018-07-15,5
review53,915,-3,4,2018-07-15,2
review54,1086,-2,2,2018-07-14,1
review55,203,-3,2,2018-07-11,1
review56,216,-3,1,2018-07-10,1
review57,189,-2,2,2018-07-09,5
review58,325,-1,1,2018-07-08,1
review59,694,-3,3,2018-07-08,5
