Review,Length,Negative,Positive,Date,Stars
review0,424,-2,3,2018-09-04,1
review1,106,-1,2,2018-09-03,5
review2,379,-4,3,2018-09-03,1
review3,1000,-2,2,2018-09-03,1
review4,204,-1,1,2018-09-03,1
review5,14,-1,3,2018-09-02,5
review6,117,-1,2,2018-09-02,1
review7,101,-1,1,2018-09-02,5
review8,164,-1,1,2018-09-02,5
review9,411,-4,2,2018-09-02,1
review10,16,-1,3,2018-09-01,5
review11,979,-2,3,2018-09-01,5
review12,80,-1,1,2018-09-01,5
review13,921,-2,3,2018-09-01,2
review14,1187,-2,4,2018-09-01,5
review15,24,-1,3,2018-09-01,5
review16,351,-2,2,2018-09-01,3
review17,242,-3,2,2018-09-01,1
review18,543,-2,3,2018-08-31,2
review19,39,-1,1,2018-08-31,5
review20,57,-4,1,2018-08-31,1
review21,225,-2,1,2018-08-31,2
review22,1939,-4,3,2018-08-31,5
review23,32,-1,1,2018-08-31,5
review24,154,-1,2,2018-08-31,5
review25,156,-1,3,2018-08-30,5
review26,273,-3,2,2018-08-30,1
review27,275,-3,2,2018-08-30,1
review28,512,-2,2,2018-08-29,1
review29,202,-3,3,2018-08-29,4
review30,162,-1,3,2018-08-29,5
review31,459,-1,3,2018-08-29,1
review32,148,-1,1,2018-08-29,5
review33,128,-1,3,2018-08-29,5
review34,98,-3,2,2018-08-29,5
review35,189,-1,4,2018-08-29,5
review36,384,-3,2,2018-08-28,1
review37,102,-1,3,2018-08-28,5
review38,476,-3,3,2018-08-28,2
review39,888,-3,3,2018-08-27,5
review40,597,-2,2,2018-08-27,2
review41,1126,-2,3,2018-08-27,4
review42,130,-1,1,2018-08-27,3
review43,400,-1,3,2018-08-27,5
review44,348,-2,1,2018-08-27,4
review45,53,-1,1,2018-08-26,5
review46,84,-2,2,2018-08-26,5
review47,27,-1,3,2018-08-26,5
review48,53,-1,3,2018-08-26,5
review49,238,-3,4,2018-08-26,5
review50,300,-4,3,2018-08-26,4
review51,181,-3,1,2018-08-26,1
review52,197,-2,3,2018-08-25,5
review53,22,-1,3,2018-08-25,5
review54,83,-1,1,2018-08-25,5
review55,169,-2,4,2018-08-25,5
review56,27,-1,3,2018-08-25,5
review57,170,-1,1,2018-08-25,1
review58,11,-1,4,2018-08-24,5
review59,308,-1,2,2018-08-23,5
review60,286,-1,2,2018-08-23,3
review61,219,-2,1,2018-08-23,1
review62,277,-2,2,2018-08-23,2
review63,309,-2,3,2018-08-23,4
review64,122,-1,3,2018-08-23,3
review65,254,-3,2,2018-08-23,1
review66,85,-4,1,2018-08-23,2
review67,407,-2,1,2018-08-23,5
review68,272,-1,3,2018-08-22,5
review69,351,-3,2,2018-08-22,1
review70,253,-3,3,2018-08-22,1
review71,188,-2,2,2018-08-22,4
review72,54,-1,3,2018-08-22,5
review73,129,-1,3,2018-08-22,5
review74,62,-1,1,2018-08-21,5
review75,233,-3,4,2018-08-21,4
review76,1368,-2,4,2018-08-20,3
review77,162,-1,2,2018-08-20,5
review78,827,-2,2,2018-08-20,1
review79,188,-1,3,2018-08-20,2
review80,44,-1,1,2018-08-20,5
review81,122,-1,4,2018-08-20,5
review82,219,-3,1,2018-08-19,1
review83,170,-2,1,2018-08-19,1
review84,256,-4,1,2018-08-19,1
review85,84,-1,3,2018-08-19,5
review86,827,-3,2,2018-08-19,1
review87,872,-2,2,2018-08-18,4
review88,79,-1,1,2018-08-18,3
review89,120,-2,1,2018-08-18,5
review90,53,-1,1,2018-08-18,2
review91,391,-5,2,2018-08-17,1
review92,33,-1,1,2018-08-17,5
review93,26,-1,3,2018-08-17,4
review94,137,-1,2,2018-08-17,5
review95,209,-2,3,2018-08-17,2
review96,186,-4,1,2018-08-17,3
review97,63,-1,3,2018-08-16,5
review98,48,-2,1,2018-08-16,2
review99,236,-1,3,2018-08-16,1
review100,512,-2,2,2018-08-16,2
review101,296,-1,3,2018-08-16,5
review102,524,-1,3,2018-08-15,5
review103,13,-1,1,2018-08-15,4
review104,209,-1,3,2018-08-15,3
review105,166,-2,2,2018-08-15,5
review106,147,-2,3,2018-08-15,1
review107,129,-1,1,2018-08-15,5
review108,128,-2,3,2018-08-15,1
review109,72,-3,1,2018-08-15,1
review110,226,-1,4,2018-08-14,4
review111,88,-3,3,2018-08-14,5
review112,91,-1,3,2018-08-14,5
review113,14,-1,4,2018-08-14,5
review114,203,-3,1,2018-08-14,1
review115,107,-1,1,2018-08-14,4
review116,225,-2,2,2018-08-14,4
review117,235,-1,3,2018-08-14,5
review118,304,-2,3,2018-08-13,5
review119,215,-3,3,2018-08-13,5
review120,241,-2,2,2018-08-13,2
review121,43,-1,1,2018-08-13,5
review122,384,-2,4,2018-08-13,4
review123,127,-1,3,2018-08-13,5
review124,398,-3,1,2018-08-13,1
review125,89,-1,1,2018-08-12,3
review126,59,-1,1,2018-08-12,2
review127,185,-1,3,2018-08-12,5
review128,45,-1,3,2018-08-12,5
review129,239,-3,2,2018-08-12,1
review130,260,-3,3,2018-08-12,5
review131,32,-1,1,2018-08-12,5
review132,167,-2,3,2018-08-11,4
review133,281,-2,3,2018-08-11,5
review134,120,-1,1,2018-08-11,1
review135,69,-1,1,2018-08-11,5
review136,204,-1,1,2018-08-11,2
review137,205,-2,1,2018-08-10,1
review138,33,-1,1,2018-08-10,5
review139,502,-4,2,2018-08-10,1
review140,19,-1,1,2018-08-10,5
review141,41,-1,2,2018-08-09,5
review142,129,-2,1,2018-08-09,1
review143,419,-1,3,2018-08-09,5
review144,178,-2,2,2018-08-09,5
review145,503,-3,3,2018-08-09,1
review146,222,-2,3,2018-08-09,5
review147,828,-3,3,2018-08-09,3
review148,186,-1,2,2018-08-09,1
review149,152,-2,3,2018-08-09,5
review150,292,-2,1,2018-08-09,2
review151,731,-3,3,2018-08-08,5
review152,361,-1,1,2018-08-08,2
review153,41,-2,1,2018-08-08,1
review154,67,-1,2,2018-08-08,5
