Review,Length,Negative,Positive,Date,Stars
review0,115,-2,3,2018-08-30,5
review1,1823,-3,3,2018-08-29,4
review2,352,-1,2,2018-08-28,5
review3,25,-1,3,2018-08-28,5
review4,403,-1,3,2018-08-27,5
review5,411,-4,3,2018-08-26,4
review6,704,-4,2,2018-08-26,1
review7,1806,-2,4,2018-08-26,3
review8,366,-2,3,2018-08-25,4
review9,559,-1,3,2018-08-24,5
review10,21,-1,3,2018-08-24,5
review11,16,-1,3,2018-08-24,5
review12,357,-1,3,2018-08-23,5
review13,1174,-4,3,2018-08-23,3
review14,40,-1,1,2018-08-22,2
review15,169,-1,3,2018-08-22,1
review16,210,-3,2,2018-08-22,4
review17,644,-1,3,2018-08-21,5
review18,227,-2,4,2018-08-21,4
review19,558,-2,3,2018-08-21,5
review20,183,-1,2,2018-08-21,4
review21,851,-3,2,2018-08-20,1
review22,869,-2,2,2018-08-20,1
review23,303,-2,3,2018-08-20,5
review24,249,-3,2,2018-08-20,2
review25,103,-1,3,2018-08-18,5
review26,14,-1,2,2018-08-17,5
review27,156,-1,3,2018-08-17,5
review28,233,-1,3,2018-08-15,5
review29,360,-1,3,2018-08-15,5
review30,887,-3,3,2018-08-15,1
review31,147,-1,1,2018-08-14,4
review32,79,-1,3,2018-08-14,5
review33,487,-2,1,2018-08-13,1
review34,98,-1,3,2018-08-13,5
review35,1721,-4,4,2018-08-13,5
review36,450,-1,3,2018-08-12,5
review37,207,-2,4,2018-08-11,5
review38,320,-1,3,2018-08-11,4
review39,68,-1,3,2018-08-10,5
review40,101,-1,1,2018-08-10,5
review41,279,-1,3,2018-08-10,4
review42,451,-3,2,2018-08-10,2
review43,245,-1,3,2018-08-09,5
review44,127,-2,1,2018-08-09,2
review45,3123,-3,3,2018-08-09,3
review46,136,-1,3,2018-08-07,5
review47,4237,-4,4,2018-08-06,3
review48,700,-3,2,2018-08-04,1
review49,367,-2,1,2018-08-03,1
review50,416,-1,3,2018-08-03,5
review51,116,-1,3,2018-08-03,5
review52,1116,-4,2,2018-08-02,1
review53,268,-2,3,2018-08-02,4
review54,342,-2,3,2018-08-01,5
review55,256,-2,3,2018-07-31,3
review56,566,-2,2,2018-07-29,1
review57,762,-1,3,2018-07-27,5
review58,51,-2,2,2018-07-27,4
review59,540,-1,3,2018-07-27,4
review60,4837,-3,3,2018-07-27,3
review61,289,-2,2,2018-07-27,5
review62,66,-2,3,2018-07-26,5
review63,256,-1,3,2018-07-26,5
review64,709,-2,3,2018-07-26,1
review65,175,-1,4,2018-07-26,5
review66,287,-1,2,2018-07-26,5
review67,209,-1,3,2018-07-25,5
review68,709,-2,3,2018-07-25,4
review69,418,-2,2,2018-07-24,1
review70,624,-1,3,2018-07-24,5
review71,161,-2,1,2018-07-24,4
review72,113,-1,3,2018-07-23,5
review73,411,-4,3,2018-07-22,5
review74,76,-1,3,2018-07-21,5
review75,394,-1,3,2018-07-21,5
review76,2247,-3,3,2018-07-21,4
review77,131,-1,3,2018-07-20,5
review78,719,-3,2,2018-07-19,1
review79,118,-1,3,2018-07-19,5
review80,82,-1,3,2018-07-19,5
review81,1194,-2,3,2018-07-19,3
review82,745,-1,5,2018-07-18,5
review83,131,-3,2,2018-07-17,1
review84,423,-4,2,2018-07-16,2
review85,1567,-3,3,2018-07-16,1
review86,667,-1,3,2018-07-16,5
review87,91,-1,4,2018-07-16,5
review88,116,-1,2,2018-07-15,5
review89,214,-2,3,2018-07-14,5
review90,135,-1,2,2018-07-14,5
review91,552,-2,3,2018-07-14,2
review92,19,-1,1,2018-07-14,5
review93,41,-1,2,2018-07-14,5
review94,238,-2,2,2018-07-13,4
review95,625,-3,1,2018-07-13,1
review96,819,-3,3,2018-07-10,1
review97,209,-2,2,2018-07-10,3
review98,34,-1,3,2018-07-10,5
review99,133,-1,4,2018-07-10,5
review100,211,-1,3,2018-07-10,5
review101,20,-1,4,2018-07-10,5
review102,101,-1,3,2018-07-09,5
review103,235,-1,3,2018-07-09,5
review104,217,-1,3,2018-07-08,3
review105,144,-1,3,2018-07-08,5
review106,222,-1,2,2018-07-08,4
review107,163,-1,4,2018-07-07,5
review108,264,-2,4,2018-07-07,5
review109,37,-1,3,2018-07-07,5
review110,282,-1,3,2018-07-06,1
review111,21,-1,1,2018-07-06,5
