Review,Length,Negative,Positive,Date,Stars
review0,351,-1,1,2017-11-22,1
review1,514,-2,3,2017-11-09,2
review2,371,-4,3,2017-11-20,1
review3,459,-4,1,2017-11-18,1
review4,367,-1,2,2017-11-09,4
review5,532,-4,3,2017-11-09,1
review6,259,-1,3,2017-11-15,2
review7,379,-3,2,2017-11-10,1
review8,310,-4,1,2017-11-18,1
review9,651,-2,2,2017-11-17,1
review10,341,-3,2,2017-11-11,2
review11,504,-3,2,2017-11-18,1
review12,348,-2,1,2017-11-09,3
review13,506,-2,2,2017-11-16,1
review14,397,-4,2,2017-11-21,2
review15,527,-2,3,2017-11-17,2
review16,619,-4,3,2017-11-07,1
review17,277,-4,3,2017-11-08,2
review18,514,-4,3,2017-11-21,1
review19,209,-4,1,2017-11-15,1
review20,375,-2,1,2017-11-08,1
review21,707,-1,4,2017-11-16,2
review22,195,-3,3,2017-11-16,2
review23,213,-4,3,2017-11-08,1
review24,321,-4,2,2017-11-21,1
review25,561,-2,4,2017-11-21,1
review26,757,-3,3,2017-11-08,3
review27,233,-2,1,2017-11-13,1
review28,694,-3,3,2017-11-15,2
review29,300,-2,3,2017-11-08,2
review30,314,-2,2,2017-11-15,3
review31,335,-4,3,2017-11-15,3
review32,200,-4,3,2017-11-10,3
review33,298,-3,1,2017-11-15,1
review34,320,-3,1,2017-11-16,3
review35,268,-2,2,2017-11-14,1
review36,249,-4,2,2017-11-20,3
review37,245,-4,1,2017-11-19,1
review38,258,-1,1,2017-11-13,3
review39,228,-2,2,2017-11-11,2
review40,318,-3,2,2017-11-11,1
review41,505,-3,3,2017-11-07,2
review42,145,-1,2,2017-11-16,2
review43,211,-5,1,2017-11-22,1
review44,208,-3,2,2017-11-09,1
review45,201,-1,1,2017-11-08,1
review46,272,-1,3,2017-11-16,2
review47,139,-3,1,2017-11-16,2
review48,139,-1,3,2017-11-09,1
review49,252,-3,1,2017-11-18,1
review50,169,-2,1,2017-11-15,1
review51,146,-1,2,2017-11-14,2
review52,272,-1,3,2017-11-12,1
review53,156,-2,1,2017-11-12,2
review54,150,-1,1,2017-11-13,2
review55,253,-3,3,2017-11-16,2
review56,233,-1,2,2017-11-21,1
review57,168,-1,2,2017-11-19,1
review58,129,-1,2,2017-11-16,2
review59,147,-4,1,2017-11-10,2
review60,214,-1,2,2017-11-18,2
review61,252,-1,2,2017-11-19,2
review62,145,-4,3,2017-11-08,2
review63,64,-1,1,2017-11-19,2
review64,162,-3,2,2017-11-08,2
review65,151,-1,3,2017-11-21,2
review66,326,-2,2,2017-11-22,2
review67,324,-3,2,2017-11-15,2
review68,185,-1,2,2017-11-17,1
review69,159,-3,2,2017-11-12,1
review70,64,-3,1,2017-11-14,2
review71,127,-4,2,2017-11-18,1
review72,214,-2,3,2017-11-12,1
review73,130,-3,1,2017-11-18,1
review74,164,-1,2,2017-11-20,3
review75,113,-4,2,2017-11-11,1
review76,90,-1,1,2017-11-14,1
review77,193,-1,3,2017-11-21,3
review78,392,-2,3,2017-11-18,1
review79,118,-1,1,2017-11-07,5
review80,152,-1,2,2017-11-19,1
review81,236,-1,3,2017-11-21,3
review82,97,-3,1,2017-11-09,1
review83,1562,-4,3,2017-11-19,1
review84,126,-1,3,2017-11-20,1
review85,84,-3,2,2017-11-08,1
review86,122,-2,1,2017-11-08,3
review87,191,-3,2,2017-11-19,3
review88,87,-2,1,2017-11-08,2
review89,111,-3,2,2017-11-15,3
review90,119,-2,1,2017-11-19,1
review91,91,-1,1,2017-11-20,3
review92,165,-2,1,2017-11-11,3
review93,80,-4,3,2017-11-15,2
review94,117,-3,1,2017-11-09,1
review95,253,-2,2,2017-11-19,4
review96,87,-3,1,2017-11-15,1
review97,110,-2,1,2017-11-10,2
review98,146,-2,1,2017-11-11,1
review99,129,-1,1,2017-11-08,1
review100,123,-4,1,2017-11-17,1
review101,697,-1,3,2017-11-14,5
review102,76,-1,1,2017-11-14,1
review103,226,-1,3,2017-11-18,3
review104,108,-1,3,2017-11-10,3
review105,585,-5,2,2017-11-21,1
review106,205,-2,2,2017-11-10,4
review107,58,-1,1,2017-11-10,1
review108,1168,-3,4,2017-11-14,3
review109,184,-3,1,2017-11-08,4
review110,151,-4,2,2017-11-07,1
review111,112,-2,2,2017-11-10,5
review112,116,-2,1,2017-11-12,3
review113,137,-1,4,2017-11-12,1
review114,144,-2,1,2017-11-15,3
review115,119,-2,1,2017-11-18,4
review116,44,-1,1,2017-11-16,1
review117,77,-1,1,2017-11-10,2
review118,74,-3,1,2017-11-10,2
review119,303,-1,1,2017-11-07,4
review120,2826,-3,3,2017-11-16,5
review121,95,-1,1,2017-11-09,4
review122,65,-2,1,2017-11-15,2
review123,85,-1,1,2017-11-08,3
review124,59,-1,1,2017-11-12,2
review125,127,-1,2,2017-11-11,1
review126,35,-1,1,2017-11-16,2
review127,106,-1,1,2017-11-18,4
review128,197,-1,3,2017-11-18,4
review129,62,-1,1,2017-11-08,1
review130,142,-3,1,2017-11-21,1
review131,77,-2,2,2017-11-12,3
review132,82,-2,1,2017-11-15,3
review133,111,-1,1,2017-11-11,1
