Review,Length,Negative,Positive,Date,Stars
review0,519,-1,2,2018-05-22,3
review1,377,-1,3,2018-05-19,1
review2,300,-2,1,2018-05-25,1
review3,303,-2,4,2018-05-28,2
review4,314,-1,4,2018-05-25,3
review5,435,-3,2,2018-05-27,2
review6,424,-3,3,2018-05-20,4
review7,179,-3,3,2018-05-26,3
review8,319,-1,1,2018-05-22,5
review9,378,-4,3,2018-05-22,4
review10,345,-1,1,2018-05-26,1
review11,232,-1,3,2018-05-26,1
review12,180,-1,1,2018-05-27,1
review13,266,-1,2,2018-05-28,1
review14,222,-3,1,2018-05-18,1
review15,318,-3,3,2018-05-25,2
review16,231,-1,3,2018-05-23,2
review17,187,-1,1,2018-05-21,1
review18,445,-3,3,2018-05-27,1
review19,194,-2,3,2018-05-22,1
review20,709,-2,3,2018-05-26,3
review21,344,-2,2,2018-05-26,1
review22,223,-1,1,2018-05-26,3
review23,591,-2,3,2018-05-21,2
review24,228,-1,1,2018-05-26,3
review25,128,-4,4,2018-05-25,2
review26,417,-4,2,2018-05-24,1
review27,162,-2,2,2018-05-28,4
review28,215,-1,2,2018-05-23,1
review29,134,-3,2,2018-05-21,1
review30,166,-1,2,2018-05-23,3
review31,147,-2,3,2018-05-23,5
review32,151,-2,1,2018-05-24,3
review33,77,-3,1,2018-05-26,1
review34,462,-4,2,2018-05-26,1
review35,226,-4,3,2018-05-19,1
review36,435,-2,3,2018-05-25,3
review37,261,-3,1,2018-05-19,1
review38,111,-3,3,2018-05-22,4
review39,759,-4,3,2018-05-20,2
review40,149,-1,3,2018-05-18,4
review41,175,-1,4,2018-05-21,1
review42,145,-1,3,2018-05-25,4
review43,157,-3,3,2018-05-19,1
review44,109,-1,1,2018-05-17,1
review45,178,-1,2,2018-05-25,3
review46,334,-1,2,2018-05-22,3
review47,203,-1,3,2018-05-18,5
review48,84,-1,1,2018-05-22,2
review49,275,-1,3,2018-05-18,5
review50,135,-1,1,2018-05-25,2
review51,74,-1,1,2018-05-23,4
review52,100,-2,1,2018-05-17,3
review53,631,-1,2,2018-05-27,2
review54,86,-4,1,2018-05-24,1
review55,112,-3,1,2018-05-25,4
review56,109,-3,1,2018-05-24,1
review57,119,-3,1,2018-05-24,1
review58,287,-1,2,2018-05-22,1
review59,104,-3,3,2018-05-20,1
review60,151,-2,2,2018-05-16,1
review61,195,-2,3,2018-05-20,5
review62,187,-1,1,2018-05-19,1
review63,264,-1,1,2018-05-19,3
review64,269,-2,3,2018-05-20,5
review65,112,-1,2,2018-05-20,1
review66,226,-2,1,2018-05-19,2
review67,62,-1,1,2018-05-21,1
review68,262,-4,1,2018-05-24,1
review69,249,-3,1,2018-05-20,2
review70,180,-3,1,2018-05-16,1
review71,267,-2,1,2018-05-19,1
review72,211,-1,2,2018-05-23,3
review73,175,-1,1,2018-05-28,2
review74,131,-1,1,2018-05-20,3
review75,136,-1,1,2018-05-20,1
review76,69,-4,1,2018-05-22,1
review77,156,-1,2,2018-05-20,4
review78,239,-1,3,2018-05-19,5
review79,112,-4,1,2018-05-21,1
review80,102,-3,1,2018-05-26,1
review81,141,-2,2,2018-05-27,1
review82,165,-3,2,2018-05-28,1
review83,150,-1,3,2018-05-20,5
review84,114,-1,1,2018-05-19,4
review85,187,-3,1,2018-05-18,1
review86,212,-3,2,2018-05-26,1
review87,138,-1,2,2018-05-27,2
review88,90,-2,1,2018-05-19,1
review89,105,-4,2,2018-05-24,1
review90,184,-1,2,2018-05-25,4
review91,121,-1,1,2018-05-19,1
review92,109,-2,2,2018-05-20,1
review93,86,-1,2,2018-05-24,3
review94,268,-1,3,2018-05-22,1
review95,98,-1,1,2018-05-20,3
review96,112,-1,2,2018-05-19,5
review97,202,-1,3,2018-05-27,1
review98,117,-3,1,2018-05-22,1
review99,92,-1,1,2018-05-19,1
review100,160,-1,1,2018-05-23,3
review101,81,-1,3,2018-05-27,5
review102,47,-1,3,2018-05-18,1
review103,84,-2,1,2018-05-26,4
review104,135,-1,4,2018-05-19,2
review105,47,-1,1,2018-05-23,1
review106,85,-1,1,2018-05-20,2
review107,186,-1,2,2018-05-26,1
review108,183,-2,2,2018-05-18,5
review109,140,-1,3,2018-05-21,5
review110,70,-1,1,2018-05-28,3
review111,159,-1,3,2018-05-27,1
review112,73,-2,1,2018-05-18,1
review113,122,-1,1,2018-05-23,3
review114,113,-1,3,2018-05-25,3
review115,73,-2,1,2018-05-19,1
review116,106,-4,1,2018-05-18,1
review117,114,-3,3,2018-05-22,1
review118,91,-1,2,2018-05-24,5
review119,53,-1,1,2018-05-18,1
review120,92,-1,2,2018-05-22,3
review121,44,-1,1,2018-05-22,4
review122,76,-1,1,2018-05-24,4
review123,105,-1,3,2018-05-19,3
review124,56,-2,2,2018-05-27,4
review125,150,-1,3,2018-05-18,5
review126,32,-1,3,2018-05-27,5
review127,48,-1,1,2018-05-26,5
review128,59,-2,1,2018-05-19,3
review129,145,-1,1,2018-05-18,5
review130,40,-2,1,2018-05-24,2
review131,123,-2,3,2018-05-26,4
review132,131,-1,3,2018-05-22,4
review133,120,-1,2,2018-05-20,5
review134,125,-1,2,2018-05-20,5
review135,58,-2,1,2018-05-19,1
review136,63,-2,1,2018-05-21,4
review137,107,-1,2,2018-05-21,3
review138,74,-1,2,2018-05-20,1
review139,109,-1,2,2018-05-18,5
review140,97,-1,2,2018-05-19,4
review141,142,-1,2,2018-05-26,5
review142,77,-2,3,2018-05-18,1
review143,106,-1,2,2018-05-18,5
review144,118,-1,3,2018-05-21,4
review145,118,-1,3,2018-05-20,1
review146,51,-1,1,2018-05-18,1
review147,74,-1,3,2018-05-20,1
review148,57,-1,2,2018-05-22,4
review149,35,-1,2,2018-05-18,4
review150,100,-1,2,2018-05-25,2
review151,28,-1,1,2018-05-27,1
review152,21,-1,1,2018-05-18,1
review153,101,-1,1,2018-05-20,1
review154,67,-1,2,2018-05-18,4
review155,67,-1,1,2018-05-18,3
review156,69,-3,1,2018-05-23,1
review157,72,-1,1,2018-05-27,1
review158,57,-1,1,2018-05-22,3
review159,27,-1,1,2018-05-27,5
review160,57,-1,1,2018-05-24,5
review161,41,-1,1,2018-05-19,1
review162,106,-2,1,2018-05-22,4
review163,60,-1,1,2018-05-17,5
review164,29,-1,1,2018-05-21,1
review165,47,-1,1,2018-05-19,5
review166,164,-1,1,2018-05-19,4
review167,88,-2,1,2018-05-26,2
review168,84,-1,1,2018-05-16,1
review169,65,-2,1,2018-05-24,3
review170,78,-1,1,2018-05-25,1
review171,42,-1,1,2018-05-20,1
review172,29,-1,1,2018-05-19,1
review173,71,-1,1,2018-05-23,5
review174,52,-1,1,2018-05-24,2
review175,825,-1,2,2018-05-20,3
review176,86,-1,2,2018-05-23,5
review177,85,-1,1,2018-05-28,1
review178,88,-1,2,2018-05-22,4
review179,53,-1,2,2018-05-27,1
review180,25,-1,1,2018-05-18,2
review181,45,-1,2,2018-05-19,5
review182,81,-1,3,2018-05-18,5
review183,17,-1,1,2018-05-18,5
review184,101,-1,2,2018-05-21,5
review185,36,-1,1,2018-05-21,5
review186,80,-2,2,2018-05-19,1
review187,28,-1,1,2018-05-18,1
review188,77,-1,2,2018-05-24,1
review189,26,-2,1,2018-05-23,1
review190,73,-1,1,2018-05-22,4
review191,68,-1,1,2018-05-19,5
review192,22,-1,1,2018-05-27,1
review193,23,-1,1,2018-05-22,5
review194,20,-1,1,2018-05-21,1
review195,62,-1,3,2018-05-26,5
review196,64,-1,1,2018-05-23,4
review197,36,-3,1,2018-05-23,1
review198,69,-1,3,2018-05-26,5
review199,19,-2,1,2018-05-21,1
review200,36,-1,2,2018-05-25,5
review201,60,-1,1,2018-05-20,5
review202,46,-3,1,2018-05-25,1
review203,62,-1,3,2018-05-26,4
review204,27,-1,1,2018-05-21,1
review205,18,-1,1,2018-05-27,1
review206,22,-1,2,2018-05-19,5
review207,60,-1,1,2018-05-22,1
review208,20,-1,1,2018-05-24,3
review209,25,-1,1,2018-05-26,5
review210,63,-1,1,2018-05-28,2
review211,18,-1,1,2018-05-23,3
review212,11,-1,1,2018-05-20,5
review213,35,-1,2,2018-05-16,5
review214,44,-1,1,2018-05-27,1
review215,37,-1,3,2018-05-20,5
review216,45,-4,1,2018-05-18,1
review217,28,-1,1,2018-05-26,3
review218,31,-1,3,2018-05-25,5
review219,11,-1,1,2018-05-17,1
review220,10,-1,1,2018-05-23,5
review221,43,-1,3,2018-05-27,5
review222,16,-1,1,2018-05-28,2
review223,14,-2,1,2018-05-21,5
review224,28,-1,2,2018-05-26,4
review225,26,-1,1,2018-05-19,3
review226,37,-1,3,2018-05-19,5
review227,24,-1,3,2018-05-21,5
review228,7,-1,2,2018-05-24,4
review229,22,-1,2,2018-05-18,4
review230,16,-1,3,2018-05-18,5
review231,10,-1,3,2018-05-23,5
review232,10,-1,3,2018-05-27,5
review233,9,-1,3,2018-05-21,5
review234,8,-1,2,2018-05-23,5
review235,2,-1,1,2018-05-20,4
review236,5,-2,1,2018-05-18,1
review237,7,-1,1,2018-05-19,5
review238,14,-1,3,2018-05-22,5
review239,18,-1,3,2018-05-21,5
review240,2,-1,1,2018-05-26,5
review241,8,-1,2,2018-05-21,5
review242,8,-1,1,2018-05-19,3
review243,8,-1,2,2018-05-18,5
review244,8,-1,2,2018-05-18,5
review245,13,-1,3,2018-05-21,3
review246,21,-1,3,2018-05-27,5
review247,6,-1,1,2018-05-22,5
review248,4,-1,2,2018-05-20,5
review249,5,-1,3,2018-05-20,5
review250,7,-1,3,2018-05-20,5
review251,7,-1,2,2018-05-18,5
review252,4,-1,2,2018-05-23,4
review253,9,-1,4,2018-05-23,5
review254,4,-1,2,2018-05-23,5
review255,4,-1,2,2018-05-25,5
review256,4,-1,2,2018-05-24,5
review257,4,-1,2,2018-05-25,4
review258,4,-1,2,2018-05-26,5
review259,511,-2,2,2018-05-12,3
review260,415,-2,3,2018-05-10,2
review261,363,-1,3,2018-05-07,2
review262,397,-2,2,2018-05-12,1
review263,294,-3,2,2018-05-10,1
review264,316,-3,3,2018-05-15,1
review265,200,-2,2,2018-05-03,1
review266,350,-2,2,2018-05-18,2
review267,521,-3,2,2018-05-12,1
review268,199,-4,1,2018-05-12,1
review269,253,-2,1,2018-05-15,1
review270,289,-2,3,2018-05-04,2
review271,266,-2,2,2018-05-15,3
review272,237,-1,2,2018-05-11,3
review273,311,-2,2,2018-05-15,4
review274,320,-3,1,2018-05-05,1
review275,182,-1,3,2018-05-05,2
review276,222,-2,2,2018-05-04,1
review277,252,-2,2,2018-05-05,4
review278,354,-3,2,2018-05-15,1
review279,413,-3,2,2018-05-05,3
review280,262,-2,2,2018-05-05,3
review281,162,-3,1,2018-05-15,1
review282,343,-3,2,2018-05-11,1
review283,240,-2,1,2018-05-13,2
review284,175,-2,1,2018-05-06,5
review285,171,-1,1,2018-05-16,3
review286,200,-1,1,2018-05-08,1
review287,357,-2,3,2018-05-17,1
review288,453,-2,2,2018-05-15,2
review289,329,-2,2,2018-05-15,2
review290,247,-3,1,2018-05-05,1
review291,258,-1,3,2018-05-13,1
review292,139,-4,1,2018-05-17,1
review293,210,-2,1,2018-05-13,4
review294,561,-2,3,2018-05-18,5
review295,696,-3,2,2018-05-12,1
review296,213,-3,1,2018-05-12,1
review297,224,-3,1,2018-05-18,3
review298,157,-1,2,2018-05-19,4
review299,251,-2,3,2018-05-20,1
review300,124,-2,3,2018-05-11,2
review301,161,-3,3,2018-05-18,4
review302,222,-2,1,2018-05-12,1
review303,164,-3,1,2018-05-09,1
review304,707,-2,1,2018-05-09,3
review305,256,-2,1,2018-05-05,1
review306,98,-3,1,2018-05-17,5
review307,264,-1,2,2018-05-06,1
review308,129,-4,1,2018-05-07,1
review309,333,-1,1,2018-05-17,1
review310,163,-1,3,2018-05-16,1
review311,182,-3,3,2018-05-09,3
review312,147,-1,3,2018-05-13,1
review313,659,-4,3,2018-05-04,1
review314,363,-1,3,2018-05-13,5
review315,558,-3,3,2018-05-10,4
review316,253,-1,3,2018-05-11,1
review317,314,-1,2,2018-05-16,1
review318,261,-2,3,2018-05-12,2
review319,215,-1,1,2018-05-07,2
review320,92,-4,3,2018-05-14,2
review321,236,-3,1,2018-05-10,1
review322,147,-3,1,2018-05-07,2
review323,186,-2,1,2018-05-06,4
review324,166,-1,2,2018-05-11,3
review325,155,-3,1,2018-05-21,1
review326,250,-4,2,2018-05-12,1
review327,173,-2,1,2018-05-19,3
review328,269,-2,2,2018-05-07,2
review329,268,-2,1,2018-05-06,1
review330,217,-1,1,2018-05-13,2
review331,594,-3,2,2018-05-16,1
review332,210,-5,1,2018-05-15,2
review333,200,-4,1,2018-05-17,1
review334,133,-3,1,2018-05-05,1
review335,206,-3,2,2018-05-08,1
review336,280,-1,2,2018-05-11,2
review337,262,-1,2,2018-05-14,1
review338,250,-4,1,2018-05-13,1
review339,198,-1,1,2018-05-08,1
review340,125,-1,2,2018-05-12,3
