Review,Length,Negative,Positive,Date,Stars
review0,618,-2,2,2017-09-28,3
review1,533,-2,3,2017-09-30,1
review2,297,-2,3,2017-09-26,1
review3,458,-2,2,2017-09-17,1
review4,525,-4,2,2017-10-03,1
review5,381,-3,1,2017-10-18,2
review6,205,-2,1,2017-09-19,4
review7,206,-3,3,2017-09-27,3
review8,242,-2,3,2017-10-28,2
review9,389,-3,1,2017-10-29,2
review10,439,-1,2,2017-10-14,1
review11,804,-2,3,2017-10-21,1
review12,388,-2,3,2017-09-18,5
review13,136,-1,3,2017-10-18,3
review14,118,-3,2,2017-09-12,1
review15,144,-2,2,2017-09-13,2
review16,549,-2,2,2017-09-26,3
review17,510,-2,3,2017-10-26,1
review18,116,-3,1,2017-10-14,2
review19,68,-2,2,2017-09-19,1
review20,141,-4,2,2017-10-07,1
review21,86,-2,2,2017-09-12,4
review22,654,-1,2,2017-10-14,1
review23,107,-1,3,2017-09-15,3
review24,133,-1,3,2017-10-30,4
review25,344,-4,2,2017-10-30,3
review26,261,-3,1,2017-09-29,2
review27,156,-3,1,2017-10-28,1
review28,349,-3,2,2017-09-20,1
review29,139,-1,1,2017-09-27,1
review30,109,-3,1,2017-09-24,3
review31,73,-2,2,2017-09-17,2
review32,73,-2,2,2017-09-18,1
review33,467,-1,2,2017-10-18,1
review34,179,-1,3,2017-10-20,5
review35,82,-1,1,2017-10-03,4
review36,109,-4,1,2017-10-13,1
review37,76,-2,2,2017-10-10,1
review38,185,-2,1,2017-10-13,3
review39,118,-2,3,2017-09-16,4
review40,55,-1,1,2017-09-16,2
review41,141,-2,2,2017-10-25,4
review42,57,-1,1,2017-10-10,1
review43,85,-1,2,2017-09-17,3
review44,119,-2,1,2017-09-19,2
review45,95,-1,1,2017-09-21,2
review46,55,-1,3,2017-10-27,5
review47,24,-2,2,2017-09-12,2
review48,114,-1,3,2017-09-25,5
review49,47,-1,1,2017-10-21,1
review50,30,-3,1,2017-09-30,1
review51,26,-1,1,2017-10-06,1
review52,35,-1,2,2017-10-14,1
review53,57,-1,1,2017-09-14,3
review54,104,-1,1,2017-09-25,5
review55,55,-1,2,2017-09-12,3
review56,88,-3,1,2017-10-19,2
review57,101,-1,1,2017-10-01,5
review58,56,-1,2,2017-09-21,1
review59,31,-1,1,2017-09-17,2
review60,101,-1,4,2017-10-19,5
review61,34,-1,2,2017-09-12,2
review62,32,-1,1,2017-09-27,5
review63,72,-1,3,2017-09-30,5
review64,26,-1,2,2017-09-19,1
review65,15,-1,1,2017-09-13,5
review66,44,-1,2,2017-10-31,5
review67,6,-1,1,2017-09-23,5
review68,13,-1,1,2017-10-12,5
review69,47,-1,2,2017-09-23,5
review70,30,-1,3,2017-10-29,5
review71,27,-1,3,2017-09-14,5
review72,36,-1,2,2017-10-23,5
review73,41,-1,1,2017-09-19,3
review74,10,-1,1,2017-10-07,5
review75,24,-1,3,2017-09-21,4
review76,31,-1,1,2017-10-02,4
review77,11,-1,1,2017-10-04,1
review78,22,-1,3,2017-10-06,5
review79,19,-1,2,2017-10-29,5
review80,14,-1,1,2017-09-23,5
review81,15,-1,3,2017-09-30,5
review82,21,-1,3,2017-10-01,5
review83,18,-1,2,2017-10-26,5
review84,5,-1,3,2017-10-22,5
review85,15,-1,2,2017-10-08,5
review86,16,-1,3,2017-10-12,5
review87,4,-1,2,2017-10-24,5
review88,280,-2,2,2017-05-18,4
review89,413,-2,3,2017-06-07,5
review90,373,-4,4,2017-07-20,1
review91,549,-2,3,2017-05-31,1
review92,400,-1,3,2017-09-09,1
review93,410,-3,2,2017-05-31,1
review94,463,-2,1,2017-06-28,4
review95,205,-2,2,2017-07-07,3
review96,501,-4,2,2017-09-06,2
review97,252,-4,2,2017-09-23,1
review98,253,-1,3,2017-08-16,5
review99,243,-1,3,2017-06-06,4
review100,527,-1,2,2017-07-18,4
review101,291,-3,3,2017-08-12,2
review102,278,-1,1,2017-08-08,4
review103,449,-3,2,2017-08-15,1
review104,286,-2,3,2017-06-06,3
review105,179,-2,1,2017-06-24,3
review106,137,-4,2,2017-08-27,1
review107,413,-2,2,2017-07-22,2
review108,410,-3,2,2017-07-15,2
review109,383,-2,2,2017-06-19,5
review110,207,-3,2,2017-06-16,1
review111,380,-2,3,2017-09-11,1
review112,276,-2,3,2017-06-19,5
review113,253,-3,3,2017-06-13,2
review114,168,-1,2,2017-09-10,1
review115,229,-2,1,2017-08-14,1
review116,111,-3,1,2017-06-13,1
review117,155,-1,3,2017-05-25,4
review118,103,-1,2,2017-09-27,1
review119,153,-1,1,2017-09-04,2
review120,170,-2,2,2017-06-21,1
review121,1222,-4,3,2017-06-20,5
review122,154,-4,1,2017-05-24,1
review123,248,-1,3,2017-09-18,4
review124,77,-2,2,2017-07-01,2
review125,519,-2,3,2017-08-06,4
review126,196,-1,3,2017-09-08,4
review127,100,-1,1,2017-06-09,1
review128,100,-2,3,2017-07-25,1
review129,137,-2,1,2017-08-24,2
review130,117,-2,1,2017-05-22,5
review131,187,-3,3,2017-06-21,5
review132,354,-1,1,2017-06-24,4
review133,256,-2,1,2017-06-06,2
review134,142,-1,2,2017-06-06,1
review135,239,-2,3,2017-06-30,2
review136,89,-1,2,2017-09-08,1
review137,151,-1,2,2017-07-08,1
review138,106,-1,1,2017-07-30,1
review139,124,-4,1,2017-07-01,1
review140,237,-2,1,2017-05-30,4
review141,284,-4,2,2017-07-26,4
review142,187,-1,1,2017-07-05,1
review143,220,-1,1,2017-07-23,2
review144,199,-1,3,2017-09-07,5
review145,152,-2,1,2017-06-03,3
review146,213,-2,1,2017-09-02,3
review147,171,-1,1,2017-08-16,2
review148,80,-3,2,2017-08-23,1
review149,159,-4,1,2017-08-16,2
review150,904,-4,2,2017-10-11,1
review151,245,-1,1,2017-06-28,5
review152,111,-1,1,2017-07-22,1
review153,75,-1,2,2017-05-19,5
review154,68,-1,2,2017-07-30,2
review155,201,-2,1,2017-06-27,5
review156,132,-2,1,2017-07-23,1
review157,118,-3,2,2017-06-02,4
review158,88,-1,3,2017-06-08,5
review159,189,-1,5,2017-06-24,5
review160,177,-1,2,2017-09-06,5
review161,118,-2,1,2017-07-18,3
review162,62,-2,1,2017-08-27,1
review163,92,-3,1,2017-07-10,2
review164,72,-2,1,2017-06-26,1
review165,208,-1,1,2017-08-17,3
review166,130,-2,3,2017-07-05,5
review167,76,-2,2,2017-08-06,5
review168,78,-2,1,2017-07-25,4
review169,178,-1,3,2017-09-26,5
review170,161,-1,2,2017-07-20,5
review171,64,-2,2,2017-08-21,1
review172,98,-1,3,2017-05-25,5
review173,150,-1,3,2017-07-19,4
review174,56,-1,2,2017-09-05,1
review175,81,-3,2,2017-09-01,1
review176,113,-1,1,2017-07-06,5
review177,43,-1,1,2017-09-07,4
review178,178,-1,3,2017-08-05,4
review179,75,-1,2,2017-06-15,1
review180,120,-4,2,2017-07-06,2
review181,135,-2,2,2017-07-29,5
review182,123,-1,3,2017-07-11,4
review183,39,-1,1,2017-07-08,4
review184,85,-1,2,2017-08-04,5
review185,112,-2,3,2017-09-05,5
review186,113,-1,3,2017-06-27,4
review187,103,-1,1,2017-07-06,4
review188,102,-1,1,2017-05-30,3
review189,35,-1,1,2017-07-30,2
review190,34,-2,1,2017-07-22,3
review191,71,-1,1,2017-06-06,3
review192,110,-1,3,2017-09-10,5
review193,93,-1,3,2017-05-29,5
review194,29,-1,1,2017-07-09,1
review195,93,-1,1,2017-06-28,5
review196,47,-1,1,2017-05-20,2
review197,72,-1,1,2017-07-06,5
review198,44,-1,3,2017-09-13,5
review199,97,-1,3,2017-09-15,4
review200,23,-1,3,2017-07-13,4
review201,70,-1,3,2017-09-30,4
review202,13,-1,1,2017-08-24,1
review203,64,-1,3,2017-08-23,5
review204,32,-1,1,2017-08-19,5
review205,27,-1,3,2017-09-18,5
review206,50,-1,2,2017-05-31,3
review207,68,-1,1,2017-07-25,3
review208,18,-1,1,2017-06-27,4
review209,31,-1,1,2017-09-22,5
review210,56,-1,4,2017-06-02,5
review211,109,-1,4,2017-09-02,4
review212,24,-1,2,2017-06-12,3
review213,39,-1,3,2017-07-01,4
