Review,Length,Negative,Positive,Date,Stars
review0,476,-3,2,2018-05-29,3
review1,364,-2,2,2018-06-03,3
review2,410,-4,3,2018-05-31,2
review3,416,-2,2,2018-05-31,1
review4,180,-4,1,2018-06-02,2
review5,245,-1,2,2018-06-03,4
review6,427,-1,2,2018-05-30,4
review7,863,-2,1,2018-06-01,1
review8,769,-2,2,2018-05-30,1
review9,96,-1,2,2018-05-31,5
review10,297,-1,3,2018-05-30,4
review11,94,-1,2,2018-05-30,2
review12,133,-1,3,2018-05-30,2
review13,32,-1,1,2018-05-30,4
review14,77,-1,1,2018-06-03,4
review15,178,-1,3,2018-06-01,4
review16,173,-1,2,2018-05-28,4
review17,110,-3,2,2018-05-31,3
review18,29,-1,1,2018-06-01,1
review19,65,-2,1,2018-06-02,2
review20,29,-1,1,2018-06-02,3
review21,22,-1,1,2018-06-01,3
review22,403,-1,2,2018-05-24,1
review23,366,-1,2,2018-05-02,1
review24,326,-2,2,2018-05-02,2
review25,280,-3,2,2018-05-09,1
review26,253,-1,1,2018-05-10,2
review27,273,-2,3,2018-05-04,4
review28,249,-3,3,2018-05-28,2
review29,321,-1,3,2018-05-18,4
review30,176,-2,3,2018-05-10,2
review31,396,-2,2,2018-04-30,2
review32,156,-2,2,2018-05-03,1
review33,305,-2,1,2018-05-03,2
review34,206,-1,3,2018-05-02,5
review35,348,-1,2,2018-05-29,5
review36,188,-1,3,2018-05-03,1
review37,387,-1,3,2018-05-05,4
review38,230,-1,2,2018-05-10,3
review39,217,-2,2,2018-05-16,1
review40,154,-2,2,2018-05-20,1
review41,182,-2,2,2018-05-06,2
review42,180,-1,1,2018-05-04,3
review43,148,-3,3,2018-05-27,1
review44,166,-1,2,2018-04-29,1
review45,199,-1,3,2018-05-01,4
review46,140,-2,2,2018-05-02,1
review47,159,-2,2,2018-05-23,1
review48,152,-1,2,2018-05-05,1
review49,524,-2,3,2018-05-05,3
review50,171,-3,2,2018-05-28,5
review51,171,-4,1,2018-05-21,1
review52,285,-5,2,2018-05-22,2
review53,172,-4,2,2018-05-28,1
review54,104,-3,3,2018-05-20,1
review55,139,-1,3,2018-05-22,1
review56,171,-4,1,2018-05-18,3
review57,317,-1,2,2018-05-29,5
review58,163,-1,2,2018-05-11,2
review59,139,-1,2,2018-05-08,1
review60,187,-1,1,2018-05-03,2
review61,245,-1,1,2018-05-10,3
review62,203,-1,1,2018-05-29,1
review63,141,-1,2,2018-05-03,3
review64,149,-3,1,2018-05-26,2
review65,70,-1,1,2018-05-25,1
review66,229,-1,1,2018-05-26,3
review67,216,-2,3,2018-05-18,3
review68,86,-3,1,2018-05-06,2
review69,153,-1,1,2018-05-14,3
review70,85,-1,2,2018-05-18,5
review71,194,-1,2,2018-05-02,4
review72,64,-2,1,2018-05-29,3
review73,154,-1,3,2018-05-02,5
review74,164,-1,2,2018-05-29,5
review75,58,-1,1,2018-05-02,1
review76,74,-1,1,2018-05-21,1
review77,172,-1,2,2018-05-05,4
review78,82,-1,2,2018-05-02,5
review79,134,-2,3,2018-05-29,4
review80,45,-1,1,2018-05-19,3
review81,133,-1,1,2018-05-22,3
review82,115,-1,3,2018-05-14,5
review83,67,-1,2,2018-05-04,1
review84,141,-1,3,2018-05-11,5
review85,125,-1,1,2018-05-26,5
review86,136,-1,3,2018-05-04,5
review87,58,-1,3,2018-05-14,2
review88,93,-1,1,2018-05-13,5
review89,31,-1,2,2018-05-20,3
review90,72,-1,1,2018-05-30,2
review91,88,-1,3,2018-05-22,5
review92,59,-2,2,2018-05-08,3
review93,74,-1,3,2018-05-06,2
review94,63,-1,3,2018-05-29,5
review95,20,-1,1,2018-05-23,3
review96,48,-1,2,2018-05-18,5
review97,63,-1,3,2018-05-11,5
review98,34,-1,3,2018-05-02,4
review99,13,-1,3,2018-05-02,5
review100,17,-1,2,2018-05-01,5
review101,15,-1,1,2018-05-08,5
review102,11,-1,1,2018-04-30,5
review103,4,-1,2,2018-05-14,5
review104,758,-1,3,2018-04-22,3
review105,358,-1,3,2018-04-23,4
review106,377,-1,3,2018-04-19,5
review107,622,-3,2,2018-04-17,4
review108,431,-1,3,2018-04-17,1
review109,462,-1,2,2018-04-17,5
review110,302,-3,2,2018-04-16,2
review111,376,-4,2,2018-04-26,1
review112,161,-2,1,2018-04-25,1
review113,408,-2,3,2018-05-01,4
review114,179,-2,1,2018-04-18,1
review115,426,-1,3,2018-04-16,5
review116,180,-1,2,2018-04-17,1
review117,1156,-3,3,2018-04-19,1
review118,234,-1,2,2018-04-17,1
review119,80,-1,1,2018-04-17,1
review120,160,-1,4,2018-04-17,1
review121,117,-3,3,2018-04-19,1
review122,230,-1,3,2018-04-27,2
review123,109,-3,1,2018-04-22,1
review124,108,-2,3,2018-04-28,1
review125,129,-3,1,2018-04-16,1
review126,114,-2,1,2018-04-29,1
review127,100,-1,2,2018-04-17,2
review128,177,-1,3,2018-05-01,3
review129,156,-1,1,2018-04-18,2
review130,82,-2,1,2018-04-28,1
review131,136,-1,3,2018-04-16,3
review132,135,-1,2,2018-04-18,2
review133,166,-1,3,2018-05-03,4
review134,64,-1,1,2018-04-26,1
review135,66,-1,1,2018-04-17,1
review136,97,-1,1,2018-04-19,1
review137,111,-1,1,2018-04-15,1
review138,99,-1,2,2018-04-17,1
review139,67,-1,1,2018-04-27,2
review140,72,-1,1,2018-04-18,1
review141,264,-1,3,2018-05-01,4
review142,170,-1,2,2018-05-01,2
review143,166,-1,3,2018-04-23,5
review144,184,-1,3,2018-05-01,3
review145,67,-1,1,2018-04-17,1
review146,116,-2,3,2018-04-20,5
review147,123,-2,3,2018-04-19,4
review148,39,-1,1,2018-04-24,2
review149,160,-1,1,2018-04-25,5
review150,131,-2,3,2018-04-18,3
