Review,Length,Negative,Positive,Date,Stars
review0,31,-1,1,2018-08-30,5
review1,860,-3,2,2018-08-29,4
review2,680,-3,3,2018-08-28,1
review3,1174,-2,3,2018-08-27,5
review4,578,-4,2,2018-08-25,1
review5,994,-2,3,2018-08-25,5
review6,1045,-2,2,2018-08-24,4
review7,232,-2,2,2018-08-23,1
review8,41,-1,3,2018-08-23,5
review9,234,-1,1,2018-08-23,1
review10,720,-4,2,2018-08-21,1
review11,151,-1,3,2018-08-21,5
review12,1129,-2,3,2018-08-20,2
review13,394,-4,1,2018-08-18,1
review14,506,-3,2,2018-08-18,1
review15,166,-4,2,2018-08-15,1
review16,121,-1,3,2018-08-14,5
review17,1460,-2,3,2018-08-14,1
review18,100,-1,2,2018-08-14,3
review19,717,-2,3,2018-08-13,1
review20,1647,-3,3,2018-08-13,1
review21,28,-1,2,2018-08-13,4
review22,284,-1,2,2018-08-12,5
review23,728,-2,2,2018-08-11,3
review24,230,-3,3,2018-08-10,1
review25,31,-1,3,2018-08-08,5
review26,229,-2,2,2018-08-05,1
review27,633,-4,2,2018-08-05,1
review28,530,-2,2,2018-08-02,3
review29,261,-4,2,2018-07-31,1
review30,968,-4,4,2018-07-28,5
review31,106,-1,1,2018-07-28,2
review32,3155,-2,4,2018-07-27,5
review33,232,-1,2,2018-07-25,3
review34,990,-2,3,2018-07-23,1
review35,164,-1,1,2018-07-23,5
review36,1064,-3,3,2018-07-23,2
review37,815,-3,3,2018-07-22,2
review38,884,-3,2,2018-07-22,1
review39,869,-3,2,2018-07-21,1
review40,119,-3,1,2018-07-20,1
review41,555,-3,1,2018-07-19,1
review42,47,-1,1,2018-07-19,5
review43,107,-1,3,2018-07-16,4
review44,2144,-3,3,2018-07-15,2
review45,381,-3,2,2018-07-15,1
review46,190,-1,2,2018-07-15,1
review47,36,-2,1,2018-07-15,1
review48,338,-2,3,2018-07-14,1
review49,344,-2,3,2018-07-13,5
review50,149,-2,2,2018-07-11,3
review51,151,-2,3,2018-07-10,5
review52,332,-2,3,2018-07-10,5
review53,136,-1,3,2018-07-09,5
review54,776,-4,3,2018-07-08,1
review55,471,-1,3,2018-07-06,4
review56,796,-3,2,2018-07-06,5
review57,63,-2,1,2018-07-06,2
review58,234,-1,2,2018-07-06,2
review59,30,-1,1,2018-07-04,1
review60,105,-1,2,2018-07-04,5
review61,719,-4,3,2018-07-04,2
review62,458,-2,3,2018-07-03,5
review63,579,-2,3,2018-07-02,3
review64,296,-4,3,2018-07-02,2
review65,687,-4,3,2018-06-30,1
review66,70,-2,1,2018-06-30,1
review67,863,-3,1,2018-06-28,4
review68,868,-2,3,2018-06-28,5
