Review,Length,Negative,Positive,Date,Stars
review0,120,-3,1,2018-08-31,1
review1,190,-1,3,2018-08-31,5
review2,112,-1,4,2018-08-31,5
review3,102,-1,1,2018-08-31,1
review4,115,-1,3,2018-08-30,5
review5,27,-1,3,2018-08-29,5
review6,55,-1,2,2018-08-28,5
review7,1237,-5,2,2018-08-28,1
review8,405,-4,1,2018-08-28,1
review9,425,-1,4,2018-08-28,5
review10,160,-1,2,2018-08-28,5
review11,1030,-1,2,2018-08-27,1
review12,23,-1,3,2018-08-27,5
review13,970,-4,3,2018-08-27,1
review14,21,-1,4,2018-08-27,5
review15,634,-2,3,2018-08-27,2
review16,555,-4,4,2018-08-26,5
review17,445,-2,2,2018-08-26,5
review18,1230,-2,3,2018-08-25,2
review19,225,-1,3,2018-08-25,5
review20,49,-1,3,2018-08-25,5
review21,57,-1,2,2018-08-25,5
review22,1353,-3,3,2018-08-24,1
review23,1432,-2,3,2018-08-24,1
review24,514,-1,3,2018-08-23,5
review25,191,-1,4,2018-08-23,5
review26,95,-1,3,2018-08-23,5
review27,45,-1,2,2018-08-23,5
review28,55,-1,2,2018-08-23,4
review29,1078,-3,2,2018-08-22,1
review30,529,-2,3,2018-08-22,4
review31,1210,-3,3,2018-08-21,5
review32,1021,-4,2,2018-08-21,1
review33,52,-1,3,2018-08-21,5
review34,1007,-4,3,2018-08-21,3
review35,242,-1,4,2018-08-20,5
review36,222,-2,3,2018-08-20,2
review37,218,-1,1,2018-08-20,3
review38,3273,-4,2,2018-08-20,1
review39,407,-2,1,2018-08-20,1
review40,135,-1,3,2018-08-20,5
review41,56,-1,1,2018-08-19,1
review42,483,-1,3,2018-08-19,5
review43,40,-1,1,2018-08-18,4
review44,215,-2,3,2018-08-18,5
review45,1319,-3,3,2018-08-18,1
review46,230,-2,2,2018-08-17,1
review47,45,-1,3,2018-08-17,5
review48,150,-1,2,2018-08-17,5
review49,302,-1,3,2018-08-16,5
review50,113,-1,4,2018-08-16,5
review51,131,-3,2,2018-08-16,1
review52,375,-3,1,2018-08-16,1
review53,45,-1,2,2018-08-16,5
review54,119,-1,2,2018-08-16,4
review55,132,-1,3,2018-08-16,5
review56,327,-1,4,2018-08-16,5
review57,221,-1,1,2018-08-16,5
review58,367,-1,4,2018-08-15,5
review59,473,-2,4,2018-08-15,1
review60,15,-1,2,2018-08-14,5
review61,160,-1,3,2018-08-14,5
review62,168,-1,3,2018-08-13,5
review63,78,-1,1,2018-08-13,5
review64,20,-1,3,2018-08-13,5
review65,71,-1,3,2018-08-13,5
review66,173,-1,4,2018-08-12,5
review67,500,-2,3,2018-08-11,3
review68,278,-4,2,2018-08-11,2
review69,163,-1,3,2018-08-11,5
review70,60,-1,2,2018-08-11,5
review71,49,-1,3,2018-08-11,5
review72,134,-1,3,2018-08-11,5
review73,258,-4,2,2018-08-10,1
review74,430,-4,1,2018-08-10,1
review75,271,-1,4,2018-08-10,5
review76,1570,-3,4,2018-08-09,5
review77,181,-1,3,2018-08-09,5
review78,399,-3,1,2018-08-08,1
review79,522,-2,4,2018-08-08,5
review80,300,-3,3,2018-08-08,3
review81,458,-1,3,2018-08-07,5
review82,111,-1,2,2018-08-07,5
review83,70,-1,2,2018-08-07,5
review84,105,-1,3,2018-08-07,5
review85,35,-1,4,2018-08-07,5
review86,302,-1,3,2018-08-07,5
review87,239,-3,3,2018-08-06,1
review88,610,-2,3,2018-08-06,3
review89,284,-1,4,2018-08-06,5
review90,565,-5,3,2018-08-05,5
review91,120,-1,3,2018-08-05,5
review92,355,-1,3,2018-08-04,5
review93,262,-1,2,2018-08-04,4
review94,188,-2,2,2018-08-04,1
review95,726,-1,3,2018-08-04,5
review96,64,-1,2,2018-08-04,5
review97,182,-1,3,2018-08-04,5
review98,197,-4,3,2018-08-04,5
review99,37,-4,1,2018-08-04,1
review100,37,-2,3,2018-08-04,5
review101,86,-1,3,2018-08-03,5
review102,138,-2,3,2018-08-03,5
review103,91,-3,3,2018-08-03,1
review104,334,-1,3,2018-08-03,5
review105,73,-1,3,2018-08-03,5
review106,81,-1,4,2018-08-02,5
review107,186,-1,3,2018-08-02,4
review108,15,-1,3,2018-08-02,5
review109,54,-1,2,2018-08-02,4
review110,42,-1,3,2018-08-02,5
review111,179,-3,1,2018-08-02,1
review112,29,-1,2,2018-08-02,1
