Review,Length,Negative,Positive,Date,Stars
review0,267,-2,2,2018-09-04,5
review1,293,-2,1,2018-09-03,1
review2,202,-2,2,2018-09-03,2
review3,226,-4,1,2018-09-03,1
review4,16,-1,1,2018-09-02,5
review5,660,-3,3,2018-09-01,1
review6,230,-2,2,2018-09-01,4
review7,473,-4,3,2018-09-01,1
review8,66,-4,1,2018-09-01,1
review9,104,-1,2,2018-08-31,3
review10,182,-3,2,2018-08-31,1
review11,136,-1,1,2018-08-30,5
review12,92,-1,3,2018-08-30,5
review13,1048,-2,3,2018-08-30,1
review14,74,-1,1,2018-08-30,5
review15,48,-2,1,2018-08-30,1
review16,209,-2,1,2018-08-30,1
review17,347,-4,3,2018-08-30,1
review18,50,-1,2,2018-08-29,5
review19,1055,-3,2,2018-08-29,1
review20,1056,-4,2,2018-08-28,5
review21,94,-2,3,2018-08-27,5
review22,698,-2,3,2018-08-27,3
review23,58,-1,3,2018-08-27,5
review24,137,-1,3,2018-08-27,4
review25,314,-4,2,2018-08-27,1
review26,55,-1,1,2018-08-27,5
review27,287,-3,2,2018-08-27,5
review28,57,-1,1,2018-08-27,5
review29,485,-3,3,2018-08-27,1
review30,87,-4,1,2018-08-26,4
review31,145,-1,1,2018-08-25,1
review32,77,-2,1,2018-08-25,1
review33,19,-1,1,2018-08-24,5
review34,234,-2,3,2018-08-24,3
review35,125,-1,2,2018-08-24,1
review36,818,-4,2,2018-08-24,1
review37,782,-5,3,2018-08-24,1
review38,44,-1,3,2018-08-24,5
review39,720,-3,3,2018-08-24,3
review40,198,-1,3,2018-08-24,5
review41,174,-1,4,2018-08-24,5
review42,133,-1,2,2018-08-24,5
review43,159,-1,1,2018-08-23,5
review44,170,-1,3,2018-08-23,1
review45,687,-3,2,2018-08-23,5
review46,64,-1,3,2018-08-23,4
review47,235,-1,3,2018-08-22,5
review48,973,-2,3,2018-08-22,4
review49,290,-1,1,2018-08-22,1
review50,427,-2,3,2018-08-21,4
review51,158,-1,2,2018-08-21,2
review52,310,-1,3,2018-08-21,5
review53,23,-1,3,2018-08-21,5
review54,169,-1,3,2018-08-21,5
review55,84,-1,3,2018-08-20,4
review56,566,-4,2,2018-08-20,1
review57,47,-1,2,2018-08-20,5
review58,373,-1,3,2018-08-19,5
review59,189,-2,3,2018-08-19,1
review60,183,-1,3,2018-08-16,5
review61,162,-1,2,2018-08-16,3
review62,80,-1,1,2018-08-16,1
review63,80,-1,3,2018-08-15,5
review64,293,-2,3,2018-08-15,4
review65,432,-1,1,2018-08-14,5
review66,69,-1,2,2018-08-14,5
review67,164,-4,2,2018-08-14,1
review68,65,-1,2,2018-08-14,5
review69,267,-4,2,2018-08-14,4
review70,497,-4,2,2018-08-14,1
review71,242,-2,2,2018-08-14,1
review72,34,-1,1,2018-08-14,5
review73,327,-4,2,2018-08-14,1
review74,388,-2,1,2018-08-14,1
review75,54,-1,3,2018-08-14,5
review76,213,-1,2,2018-08-13,5
review77,436,-3,1,2018-08-13,1
review78,351,-4,3,2018-08-13,1
review79,106,-1,4,2018-08-13,5
review80,292,-2,3,2018-08-13,5
review81,361,-3,1,2018-08-12,1
review82,152,-3,1,2018-08-12,1
review83,67,-1,2,2018-08-12,5
review84,895,-4,3,2018-08-10,3
review85,115,-1,2,2018-08-10,2
review86,597,-2,3,2018-08-10,1
review87,801,-3,2,2018-08-10,1
review88,264,-4,1,2018-08-10,1
review89,37,-1,3,2018-08-09,5
review90,437,-1,3,2018-08-09,5
review91,160,-2,3,2018-08-09,1
review92,528,-3,3,2018-08-09,5
review93,196,-1,3,2018-08-09,5
review94,552,-2,3,2018-08-09,1
review95,28,-1,3,2018-08-08,5
review96,489,-1,2,2018-08-08,5
review97,410,-3,1,2018-08-07,1
review98,469,-3,3,2018-08-07,2
review99,1246,-4,4,2018-08-07,4
review100,371,-1,3,2018-08-07,4
review101,376,-3,1,2018-08-07,3
review102,401,-2,4,2018-08-06,5
review103,331,-3,2,2018-08-06,1
review104,37,-1,3,2018-08-06,5
review105,222,-2,2,2018-08-06,3
review106,252,-1,3,2018-08-06,5
review107,320,-3,3,2018-08-06,1
review108,299,-1,2,2018-08-05,5
review109,299,-1,3,2018-08-05,5
review110,1665,-3,3,2018-08-05,1
review111,2185,-4,2,2018-08-04,2
review112,90,-2,1,2018-08-04,1
review113,7841,-4,3,2018-08-04,4
review114,378,-1,3,2018-08-04,5
review115,420,-2,1,2018-08-04,1
review116,386,-4,4,2018-08-04,5
review117,22,-1,1,2018-08-03,1
review118,34,-3,1,2018-08-03,1
review119,75,-1,3,2018-08-03,5
review120,178,-1,4,2018-08-03,4
review121,105,-1,4,2018-08-03,4
review122,267,-2,3,2018-08-02,5
review123,106,-1,1,2018-08-02,5
review124,63,-1,2,2018-08-01,5
review125,41,-1,3,2018-08-01,5
review126,367,-2,1,2018-08-01,1
review127,58,-1,1,2018-08-01,1
review128,1132,-2,2,2018-08-01,4
review129,490,-4,2,2018-07-31,4
review130,24,-1,3,2018-07-31,5
review131,78,-1,4,2018-07-31,5
review132,147,-1,3,2018-07-31,5
review133,101,-1,2,2018-07-31,1
review134,69,-1,2,2018-07-31,5
review135,27,-1,2,2018-07-31,5
review136,86,-1,4,2018-07-31,5
review137,68,-1,1,2018-07-30,5
review138,158,-2,2,2018-07-30,5
review139,15,-1,4,2018-07-29,5
review140,609,-3,2,2018-07-29,1
review141,54,-2,1,2018-07-29,1
review142,247,-1,2,2018-07-29,4
review143,52,-1,3,2018-07-29,5
review144,101,-1,4,2018-07-28,5
review145,35,-1,3,2018-07-27,5
review146,257,-1,2,2018-07-27,1
review147,195,-1,3,2018-07-27,5
review148,202,-2,1,2018-07-27,5
review149,269,-1,1,2018-07-26,5
review150,477,-2,1,2018-07-26,3
review151,16,-1,1,2018-07-26,5
review152,641,-2,3,2018-07-26,4
review153,37,-1,2,2018-07-26,5
review154,21,-1,1,2018-07-26,4
review155,70,-1,3,2018-07-26,4
review156,408,-1,2,2018-07-26,2
review157,127,-1,3,2018-07-25,5
review158,234,-1,4,2018-07-25,5
review159,27,-1,1,2018-07-25,1
review160,875,-2,3,2018-07-24,1
review161,520,-3,3,2018-07-24,1
review162,97,-1,1,2018-07-24,1
review163,208,-2,3,2018-07-24,5
review164,77,-1,3,2018-07-24,5
review165,109,-2,2,2018-07-24,4
review166,908,-4,3,2018-07-24,1
review167,114,-1,2,2018-07-24,1
review168,81,-1,3,2018-07-23,5
review169,76,-1,1,2018-07-23,5
review170,64,-1,3,2018-07-23,5
review171,25,-1,4,2018-07-23,5
